ID;INVOERDATUM;VERSIE_NUMMER;ACTION;MODFWE;ELONG;TOSTARTAT;TOENDAT;SRCACTION;DASSIGNNAME;DASSIGNFROM;DASSIGNTO;DNAME;DLENGTH;FWENAME;FWELENGTH
1104;2013-11-29;3;ASSIGN;028_301AL_52.6;-52;;-1;DEL;028_1001L_52.6;0;52;;;;
1105;2013-11-29;3;ASSIGN;028_301AR_52.6;-27;;-1;DEL;028_1001R_52.6;0;27;;;;
1106;2013-11-29;3;ASSIGN;028_301BpV_52.6;-32;;-1;DEL;028_1003pV_52.6;0;32;;;;
1107;2013-11-29;3;ASSIGN;028_301BqV_52.6;-32;;-1;DEL;028_1003qV_52.6;0;32;;;;
1108;2013-11-29;3;ASSIGN;028_303AL_52.6;-52;;-1;DEL;028_1005L_52.6;0;52;;;;
1109;2013-11-29;3;ASSIGN;028_303AR_52.6;-15;;-1;DEL;028_1005R_52.6;0;15;;;;
1110;2013-11-29;3;ASSIGN;028_303BR_52.7;42;-1;;DEL;028_1007R_52.7;0;509;;;;
1111;2013-11-29;3;EDITREAL;028_303BV_52.7;;;;;;;;;;;
1112;2013-11-29;3;EDITREAL;028_311L_52.8;;;;;;;;;;;
1113;2013-11-29;3;EDITREAL;028_313R_52.8;;;;;;;;;;;
1114;2013-11-29;3;EDITREAL;028_323AL_53.0;;;;;;;;;;;
1115;2013-11-29;3;EDITREAL;028_323AR_53.0;;;;;;;;;;;
1116;2013-11-29;3;EDITREAL;028_323AV_53.0;;;;;;;;;;;
1117;2013-11-29;3;EDITREAL;028_323BpV_53.0;;;;;;;;;;;
1118;2013-11-29;3;EDITREAL;028_323BR_53.0;;;;;;;;;;;
1119;2013-11-29;3;EDITREAL;028_325BpV_53.1;;;;;;;;;;;
1120;2013-11-29;3;EDITREAL;028_327AR_53.0;;;;;;;;;;;
1121;2013-11-29;3;EDITREAL;028_327BpV_53.1;;;;;;;;;;;
1122;2013-11-29;3;EDITREAL;028_327BqV_53.1;;;;;;;;;;;
1123;2013-11-29;3;EDITREAL;028_329BV_53.1;;;;;;;;;;;
1124;2013-11-29;3;EDITREAL;028_331BpV_53.1;;;;;;;;;;;
1125;2013-11-29;3;EDITREAL;028_333BV_53.2;;;;;;;;;;;
1126;2013-11-29;3;EDITREAL;028_337AR_53.1;;;;;;;;;;;
1127;2013-11-29;3;EDITREAL;028_337BV_53.2;;;;;;;;;;;
1128;2013-11-29;3;EDITREAL;028_341AR_53.2;;;;;;;;;;;
1129;2013-11-29;3;EDITREAL;028_345V_53.5;;;;;;;;;;;
1130;2013-11-29;3;EDITREAL;028_901V_52.8;;;;;;;;;;;
1131;2013-11-29;3;EDITREAL;043_345L_33.2;8;;-1;;;;;;;;
1132;2013-11-29;3;EDITREAL;050_84R_6.3;-245;;-1;;;;;;;;
1133;2013-11-29;3;EDITREAL;071_901R_19.3;-154;;-1;;;;;;;;
1134;2013-11-29;3;EDITREAL;087_200L_22.1;;;;;;;;;;;
1135;2013-11-29;3;EDITREAL;087_200R_22.1;;;;;;;;;;;
1136;2013-11-29;3;ASSIGN;087_31L_22.0;-39;;-1;DEL;087_5R_21.2;797;836;;;;
1137;2013-11-29;3;EDITREAL;087_31R_22.0;;;;;;;;;;;
1138;2013-11-29;3;EDITREAL;087_5R_21.2;39;;-1;;;;;;;;
1139;2013-11-29;3;EDITREAL;123_161L_21.0;-1;;-1;;;;;;;;
1140;2013-11-29;3;EDITREAL;123_21L_9.7;-107;;-1;;;;;;;;
1141;2013-11-29;3;EDITREAL;123_63BL_20.0;-10;;-1;;;;;;;;
1142;2013-11-29;3;EDITREAL;124_191AL_4.3;;;;;;;;;;;
1143;2013-11-29;3;ASSIGN;124_191AR_4.3;-247;;-1;DEL;124_181R_3.2;1116;1363;;;;
1144;2013-11-29;3;ASSIGN;124_191BV_4.4;-63;;-1;DEL;124_185R_3.4;1074;1137;;;;
1145;2013-11-29;3;ASSIGN;124_193AR_4.4;-29;;-1;DEL;124_193R_4.5;0;29;;;;
1146;2013-11-29;3;ASSIGN;124_193BV_4.5;-23;;-1;DEL;124_193V_4.5;0;23;;;;
1147;2013-11-29;3;ASSIGN;124_195AL_4.5;-13863;;-1;DEL;124_195L_4.5;0;13863;;;;
1148;2013-11-29;3;ASSIGN;124_195AR_4.5;-80;;-1;DEL;124_195R_4.5;0;80;;;;
1149;2013-11-29;3;ASSIGN;124_195BV_4.6;-13676;;-1;DEL;124_197V_4.6;0;13676;;;;
1150;2013-11-29;3;EDITREAL;124_904L_3.5;-196;;-1;;;;;;;;
1151;2013-11-29;3;RENAME;124_906V_3.2;;;;;;;;;;124_906V_3.1;
1152;2013-11-29;3;EDITREAL;124_906V_3.1;-156;-1;;;;;;;;;
1153;2013-11-29;3;EDITREAL;128_1235L_10.3;;;;;;;;;;;
1154;2013-11-29;3;ASSIGN;128_1237AR_10.1;-181;;-1;DEL;585_1201R_9.7;0;181;;;;
1155;2013-11-29;3;EDITREAL;128_5AV_12.2;537;;-1;;;;;;;;
