SPOORTAK_IDENTIFICATIE_OUD;VERSIE_OUD;SPOORTAK_IDENTIFICATIE_NIEUW;VERSIE_NIEUW;MUTATIE
305_14V_15.2;1;305_14V_15.2;3;Ongewijzigd
305_15V_15.3;1;305_15V_15.3;3;Ongewijzigd
305_2L_14.9;1;305_2L_14.9;3;Ongewijzigd
305_2R_14.9;1;305_2R_14.9;3;Ongewijzigd
305_21L_15.9;1;305_21L_15.9;3;Ongewijzigd
305_21R_15.9;1;305_21R_15.9;3;Ongewijzigd
305_21V_15.9;1;305_21V_15.9;3;Ongewijzigd
305_38V_16.9;1;305_38V_16.9;3;Ongewijzigd
305_39V_17.0;1;305_39V_17.0;3;Ongewijzigd
305_49AL_19.1;1;305_49AL_19.1;3;Ongewijzigd
305_49AR_19.1;1;305_49AR_19.1;3;Ongewijzigd
305_49BR_19.0;1;305_49BR_19.0;3;Ongewijzigd
305_49BV_19.0;1;305_49BV_19.0;3;Ongewijzigd
305_51L_18.2;1;305_51L_18.2;3;Ongewijzigd
305_52L_18.0;1;305_52L_18.0;3;Ongewijzigd
305_52R_18.0;1;305_52R_18.0;3;Ongewijzigd
305_54L_17.8;1;305_54L_17.8;3;Ongewijzigd
305_54R_17.8;1;305_54R_17.8;3;Ongewijzigd
305_54V_17.8;1;305_54V_17.8;3;Ongewijzigd
305_55L_17.9;1;305_55L_17.9;3;Ongewijzigd
305_61AR_15.4;1;305_61AR_15.4;3;Ongewijzigd
309_141L_5.3;1;309_141L_5.3;3;Ongewijzigd
309_141R_5.3;1;309_141R_5.3;3;Ongewijzigd
309_153V_5.8;1;309_153V_5.8;3;Ongewijzigd
309_8302L_6.1;1;309_8302L_6.1;3;Ongewijzigd
309_8302R_6.1;1;309_8302R_6.1;3;Ongewijzigd
309_8302V_6.1;1;309_8302V_6.1;3;Ongewijzigd
309_8303V_5.9;1;309_8303V_5.9;3;Ongewijzigd
400_912R_75.9;1;400_912R_75.9;3;Ongewijzigd
400_912V_75.9;1;400_912V_75.9;3;Ongewijzigd
405_122R_1.9;1;405_122R_1.9;3;Ongewijzigd
433_14L_6.2;1;433_14L_6.2;3;Ongewijzigd
433_14R_6.2;1;433_14R_6.2;3;Ongewijzigd
433_34L_5.9;1;433_34L_5.9;3;Ongewijzigd
433_34R_5.9;1;433_34R_5.9;3;Ongewijzigd
433_35V_5.8;1;433_35V_5.8;3;Ongewijzigd
433_36ApV_5.8;1;433_36ApV_5.8;3;Ongewijzigd
433_36AqV_5.8;1;433_36AqV_5.8;3;Ongewijzigd
433_36BL_5.8;1;433_36BL_5.8;3;Ongewijzigd
433_36BR_5.8;1;433_36BR_5.8;3;Ongewijzigd
433_37V_5.8;1;433_37V_5.8;3;Ongewijzigd
433_43V_5.7;1;433_43V_5.7;3;Ongewijzigd
433_44L_5.7;1;433_44L_5.7;3;Ongewijzigd
433_44R_5.7;1;433_44R_5.7;3;Ongewijzigd
433_45L_5.6;1;433_45L_5.6;3;Ongewijzigd
433_45R_5.6;1;433_45R_5.6;3;Ongewijzigd
433_47L_5.6;1;433_47L_5.6;3;Ongewijzigd
433_47R_5.6;1;433_47R_5.6;3;Ongewijzigd
433_48V_5.6;1;433_48V_5.6;3;Ongewijzigd
433_57V_4.8;1;433_57V_4.8;3;Ongewijzigd
433_58L_4.8;1;433_58L_4.8;3;Ongewijzigd
433_58V_4.8;1;433_58V_4.8;3;Ongewijzigd
433_61L_4.7;1;433_61L_4.7;3;Ongewijzigd
433_61V_4.7;1;433_61V_4.7;3;Ongewijzigd
433_64L_4.7;1;433_64L_4.7;3;Ongewijzigd
433_64R_4.7;1;433_64R_4.7;3;Ongewijzigd
433_7L_6.2;1;433_7L_6.2;3;Ongewijzigd
433_7R_6.2;1;433_7R_6.2;3;Ongewijzigd
433_7V_6.2;1;433_7V_6.2;3;Ongewijzigd
433_80L_5.5;1;433_80L_5.5;3;Ongewijzigd
433_80R_5.5;1;433_80R_5.5;3;Ongewijzigd
433_80V_5.5;1;433_80V_5.5;3;Ongewijzigd
433_81V_5.5;1;433_81V_5.5;3;Ongewijzigd
437_263AL_1.1;1;437_263AL_1.1;3;Ongewijzigd
437_263AR_1.1;1;437_263AR_1.1;3;Ongewijzigd
437_263AV_1.1;1;437_263AV_1.1;3;Ongewijzigd
437_263BR_1.2;1;437_263BR_1.2;3;Ongewijzigd
437_9001V_0.1;1;437_9001V_0.1;3;Ongewijzigd
437_9002V_0.2;1;437_9002V_0.2;3;Ongewijzigd
437_951R_1.0;1;437_951R_1.0;3;Ongewijzigd
437_951V_1.0;1;437_951V_1.0;3;Ongewijzigd
437_952L_1.0;1;437_952L_1.0;3;Ongewijzigd
437_952R_1.0;1;437_952R_1.0;3;Ongewijzigd
437_953L_0.9;1;437_953L_0.9;3;Ongewijzigd
437_953R_0.9;1;437_953R_0.9;3;Ongewijzigd
437_954L_0.9;1;437_954L_0.9;3;Ongewijzigd
437_954R_0.9;1;437_954R_0.9;3;Ongewijzigd
437_955L_0.9;1;437_955L_0.9;3;Ongewijzigd
437_955R_0.9;1;437_955R_0.9;3;Ongewijzigd
437_956L_0.9;1;437_956L_0.9;3;Ongewijzigd
437_956R_0.9;1;437_956R_0.9;3;Ongewijzigd
437_957L_0.8;1;437_957L_0.8;3;Ongewijzigd
437_957R_0.8;1;437_957R_0.8;3;Ongewijzigd
437_958L_0.8;1;437_958L_0.8;3;Ongewijzigd
437_958R_0.8;1;437_958R_0.8;3;Ongewijzigd
437_959L_0.8;1;437_959L_0.8;3;Ongewijzigd
437_959R_0.8;1;437_959R_0.8;3;Ongewijzigd
437_960L_0.7;1;437_960L_0.7;3;Ongewijzigd
437_960R_0.7;1;437_960R_0.7;3;Ongewijzigd
437_961L_0.6;1;437_961L_0.6;3;Ongewijzigd
437_961R_0.6;1;437_961R_0.6;3;Ongewijzigd
437_961V_0.6;1;437_961V_0.6;3;Ongewijzigd
