ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
121047;spoortak;114_411BV_53.7;114;;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing;53,658;411B;V;132;;Moordrecht Aansl. - Rotterdam Kleiweg;51,650;441B;L;;2,003;2011-11-30;ProRail;2,003265
121048;spoortak;501_11BL_80.0;501;;Groningen;80,006;11B;L;002;;Leeuwarden - Groningen;76,136;413;V;;3,877;2011-11-30;ProRail;3,876526
121049;spoortak;490_107R_104.8;490;c;Amsterdam Houtrakpolder (gebied);104,828;107;R;490;b;Amsterdam Houtrakpolder (gebied);4,828;108;L;;0,469;2011-11-30;ProRail;0,468570
121050;spoortak;035_117BV_46.8;035;;Lunetten - De Haar Aansl.;46,758;117B;V;035;;Lunetten - De Haar Aansl.;52,067;131B;L;;5,311;2011-11-30;ProRail;5,310860
121051;spoortak;133_1135BV_19.8;133;;Amsterdam Riekerpolder - Warmond;19,766;1135B;V;133;;Amsterdam Riekerpolder - Warmond;20,674;1141;R;;0,907;2011-11-30;ProRail;0,907331
121052;spoortak;543_213BV_46.2;543;c;Hengelo;46,221;213B;V;028;;Hengelo - Enschede Grens;52,646;1003;RE;;6,422;2011-11-30;ProRail;6,422436
121053;spoortak;517_63R_69.3;517;b;Venlo;69,331;63;RE;517;b;Venlo;69,247;65;R;;0,055;2013-10-10;ProRail;0,054767
121054;spoortak;517_63L_69.3;517;b;Venlo;69,331;63;LE;517;b;Venlo;69,250;67A;R;;0,055;2013-10-10;ProRail;0,054563
121195;spoortak;940_361BL_43.2;940;;Amersfoort Bokkeduinen;43,197;361B;L;940;;Amersfoort Bokkeduinen;42,737;SJ_361BL;V;;0,454;2011-11-30;ProRail;0,454378
121196;spoortak;161_2519R_20.4;161;;Lelystad Industrieterrein - Hattemerbroek;20,392;2519;R;161;;Lelystad Industrieterrein - Hattemerbroek;20,944;2531;L;;0,552;2011-11-30;ProRail;0,552457
121197;spoortak;123_175BV_21.2;123;;Breda - Tilburg;21,243;175B;V;123;;Breda - Tilburg;21,384;SJ_175BV;V;;0,143;2011-11-30;ProRail;0,142547
121198;spoortak;161_2671R_31.6;161;;Lelystad Industrieterrein - Hattemerbroek;31,593;2671;R;161;;Lelystad Industrieterrein - Hattemerbroek;31,851;2677;L;;0,258;2011-11-30;ProRail;0,258168
121199;spoortak;161_2675R_31.7;161;;Lelystad Industrieterrein - Hattemerbroek;31,745;2675;R;161;;Lelystad Industrieterrein - Hattemerbroek;31,851;2677;R;;0,106;2011-11-30;ProRail;0,106476
121200;spoortak;811_901V_101.0;811;b;Zwolle Industrieterrein Katwolde;101,044;901;V;811;b;Zwolle Industrieterrein Katwolde;101,231;SJ_901V;V;;0,186;2011-11-30;ProRail;0,186013
121201;spoortak;433_64L_4.7;433;;Sittard - Born;4,722;64;L;433;;Sittard - Born;5,406;84;R;;0,686;2011-11-30;ProRail;0,685696
121202;spoortak;553_313R_22.3;553;c;Sittard;22,302;313;RE;553;c;Sittard;22,336;317A;V;;0,017;2011-11-30;ProRail;0,017252
121203;spoortak;514_73L_17.4;514;a;Nijmegen;17,407;73;L;514;a;Nijmegen;17,137;93B;RE;;0,264;2011-11-30;ProRail;0,264132
121204;spoortak;751_331R_33.8;751;;Mariënberg;33,794;331;R;751;;Mariënberg;33,891;333B;R;;0,096;2011-11-30;ProRail;0,096146
121205;spoortak;924_35-36R_35.3;924;a;Kijfhoek;35,300;35-36;R;924;a;Kijfhoek;34,333;983;R;;0,970;2011-11-30;ProRail;0,970485
120842;spoortak;609_209V_28.7;609;;Zutphen;28,720;209;V;609;;Zutphen;28,762;213;L;;0,043;2013-09-16;ProRail;0,043367
120843;spoortak;609_213R_28.8;609;;Zutphen;28,762;213;R;609;;Zutphen;28,672;261;R;;0,094;2013-09-16;ProRail;0,093656
120844;spoortak;609_213V_28.8;609;;Zutphen;28,762;213;V;609;;Zutphen;28,799;215;R;;0,038;2013-09-16;ProRail;0,038149
120845;spoortak;620_35BqV_41.9;620;;Alkmaar;41,892;35B;L+R;620;;Alkmaar;41,859;37A;L+R;q;0,034;2011-11-30;ProRail;0,033670
120846;spoortak;927_23L_904.5;927;;Watergraafsmeer;904,458;23;L;927;;Watergraafsmeer;905,114;3029;L;;0,585;2011-11-30;ProRail;0,585201
120847;spoortak;927_21L_904.5;927;;Watergraafsmeer;904,459;21;L;927;;Watergraafsmeer;904,487;25;V;;0,034;2011-11-30;ProRail;0,034336
120848;spoortak;924_2325AL_34.7;924;a;Kijfhoek;34,711;2325A;L;924;a;Kijfhoek;34,970;2329B;R;;0,259;2011-11-30;Keyrail;0,259133
120849;spoortak;927_41R_904.6;927;;Watergraafsmeer;904,576;41;R;927;;Watergraafsmeer;905,270;3005;R;;0,625;2011-11-30;ProRail;0,625295
120850;spoortak;619_1273AR_35.5;619;;Heerhugowaard;35,498;1273A;R;619;;Heerhugowaard;35,599;1273B;R;;0,101;2011-11-30;ProRail;0,100873
120851;spoortak;620_21AR_41.7;620;;Alkmaar;41,670;21A;R;620;;Alkmaar;42,231;73;R;;0,556;2011-11-30;ProRail;0,556454
120852;spoortak;609_19AR_28.9;609;;Zutphen;28,917;19A;R;609;;Zutphen;28,847;19B;RE;;0,053;2013-09-16;ProRail;0,052863
120853;spoortak;609_205L_28.6;609;;Zutphen;28,592;205;L;609;;Zutphen;28,252;243;L;;0,340;2013-09-16;ProRail;0,340009
120854;spoortak;508_923pV_91.1;508;b;Arnhem;91,059;923;L+R;508;b;Arnhem;91,024;924;L+R;p;0,034;2011-11-30;ProRail;0,033670
