ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
2141045;614_171AR_47.8;173A/171B;W;0,035;0,052;2013-11-26;;
2141046;124_181L_3.2;181;W;0,000;0,048;2013-11-26;1:15;1,64
2141048;116_2395AL_37.5;2395A;W;0,000;0,049;2013-11-26;1:15;1,64
2141049;509_41AR_36.5;41B;W;0,090;0,119;2013-11-26;1:9;1,64
2141050;555_211BV_83.4;263A/293B;W;0,010;0,027;2013-11-26;;
2141051;508_2115R_91.6;2115;W;0,000;0,048;2013-11-26;1:15;1,64
2141053;756_53L_35.5;53;W;0,000;0,029;2013-11-26;1:9;1,64
2141054;132_477AL_47.9;477B;W;0,036;0,065;2013-11-26;1:9;1,64
2141056;478_1245R_1.8;1245/1227B;W;0,000;0,017;2013-11-26;;
2141057;924_3223AL_34.0;3243B;W;0,309;0,337;2013-11-26;1:9;1,64
2141058;950_407AL_26.8;407A/405;W;0,000;0,016;2013-11-26;;
2141060;950_1005R_39.8;1005;W;0,000;0,028;2013-11-26;1:9;1,64
2141061;609_81AR_27.9;83B;W;0,033;0,076;2013-11-26;1:15;1,64
2141062;950_111BqV_41.9;113A/111B;W;0,000;0,032;2013-11-26;;
2141063;519_85AR_47.0;85A/83B;W;0,000;0,017;2013-11-26;;
2141064;526_15BpV_4.2;17A/15B;W;0,000;0,034;2013-11-26;;
2141065;017_47R_69.7;47;W;0,000;0,029;2013-11-26;1:9;1,64
2141066;522_151R_57.4;151/149B;W;0,000;0,016;2013-11-26;;
2141068;520_49AR_28.4;49A/47B;W;0,000;0,017;2013-11-26;;
2141069;211_105AL_14.9;105B;W;0,071;0,097;2013-11-26;1:8;1,64
2141070;555_173AR_83.2;173A;W;0,000;0,029;2013-11-26;1:9;1,64
2141071;555_303AL_83.8;303A;W;0,000;0,028;2013-11-26;1:9;1,64
2141072;553_223R_21.3;227/225B;W;0,039;0,056;2013-11-26;;
2141073;054_9001L_54.0;9001;W;0,000;0,028;2013-11-26;1:9;1,64
2141074;517_183pV_0.1;199A/183;W;0,000;0,034;2013-11-26;;
2141076;586_131ApV_80.7;131A/2567B;W;0,000;0,035;2013-11-26;;
2141077;606_43BV_37.6;51A/49;W;0,013;0,030;2013-11-26;;
2141078;550_908R_25.7;908;W;0,000;0,027;2013-11-26;1:9;1,64
