ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT
910231;950_473R_8.0;0,686745;3,683553;951__;307,299953;304,300058
910232;777_39R_14.4;7,351861;13,816000;026__;33,466000;27,017437
910233;924_991R_34.3;0,000000;0,032000;924_a;34,299550;34,330842
910234;950_293R_15.4;0,316687;0,845000;950_a;15,673139;16,200559
910235;950_293R_15.4;0,061122;0,316687;950_a;15,416455;15,673139
910236;950_293R_15.4;0,000000;0,061122;950_a;15,355194;15,416455
909293;017_423R_39.9;0,000000;0,802000;017__;39,929938;40,730176
909294;506_632V_44.2;0,000000;0,042000;506_b;44,163115;44,209486
909295;506_634V_44.2;0,000000;0,022000;506_b;44,209486;44,231605
909296;478_1031R_0.3;0,000000;0,374000;478_a;0,292248;0,663164
909297;624_193V_32.4;0,000000;0,064000;624__;32,443084;32,506964
909298;506_35V_43.2;0,000000;0,028000;506_b;43,192052;43,164508
909299;924_3331L_34.3;0,000000;0,033000;924_a;34,265048;34,295422
909300;144_1985R_151.9;0,873581;1,472485;589_e;300,836256;301,435770
909301;927_41R_904.6;0,000000;0,625000;927__;904,576357;905,270178
909302;924_2325AL_34.7;0,000000;0,259000;924_a;34,711023;34,970027
909303;478_1177R_0.8;0,000000;0,064000;478_a;0,759905;0,825435
909304;478_1179L_0.8;0,000000;0,064000;478_a;0,825435;0,759866
909305;478_1179V_0.8;0,000000;0,010000;478_a;0,825435;0,835452
909306;478_1177L_0.8;0,000000;0,064000;478_a;0,759905;0,825470
909307;478_1181L_0.8;0,000000;0,064000;478_a;0,759866;0,825470
909308;478_1183V_0.8;0,000000;0,017000;478_a;0,825470;0,842679
909309;478_1583R_1.9;0,000000;0,130000;478_a;1,944934;2,059643
909310;478_1195L_0.8;0,000000;0,064000;478_a;0,787079;0,722839
909311;478_1193R_0.7;0,000000;0,064000;478_a;0,722881;0,787079
909312;478_1195V_0.8;0,000000;0,032000;478_a;0,787079;0,819868
909313;478_1521V_0.9;0,000000;0,041000;478_a;0,913679;0,876049
909314;478_1153qV_0.7;0,000000;0,034000;478_a;0,703321;0,737054
909315;478_1149V_0.7;0,000000;0,029000;478_a;0,749175;0,720475
909316;531_151BV_35.2;0,000000;0,248000;531_c;35,156315;35,403235
909603;552_225AL_82.4;0,000000;0,101000;552_b;82,358284;82,457995
909604;552_253R_83.1;0,000000;0,728000;552_b;83,126670;82,401155
909605;552_253L_83.1;0,000000;0,728000;552_b;83,126670;82,401155
909606;102_1241R_1.8;0,000000;0,064000;102__;1,830671;1,894510
909607;531_1329BV_34.8;0,000000;0,052000;531_c;34,800235;34,852171
909608;531_1347BV_34.7;0,000000;0,004000;531_c;34,737507;34,741079
909609;950_213R_7.8;0,000000;0,059000;950_a;7,800680;7,740314
909610;950_335BV_17.4;0,000000;0,029000;950_a;17,385879;17,414970
909611;950_243L_12.8;0,000000;0,075000;950_a;12,777710;12,853384
909612;552_221L_82.2;0,000000;0,934000;552_b;82,222278;83,151909
909613;478_1225V_1.7;0,000000;0,029000;478_a;1,712909;1,742056
909614;555_359qV_84.3;0,000000;0,042000;555_b;84,259265;84,218057
909615;555_361L_84.2;0,000000;0,073000;555_b;84,238525;84,309817
909616;002_355BV_51.5;0,000000;0,046000;002__;51,489708;51,535556
909617;002_355AR_51.4;0,000000;0,248000;002__;51,388476;51,636805
909618;002_355AL_51.4;0,000000;0,101000;002__;51,388476;51,489708
909619;002_347AR_50.6;0,000000;0,797000;002__;50,591930;51,388476
909620;139_319BV_175.4;1,483054;1,967000;139__;176,845697;177,327899
909621;139_319BV_175.4;1,392874;1,483054;139__;176,755931;176,845697
909622;139_319BV_175.4;0,000000;1,392874;139__;175,365353;176,755931
909623;937_82L_69.1;0,000000;0,042000;937__;69,092172;69,134058
909926;924_3237BqV_34.2;0,000000;0,032000;924_a;34,167990;34,136500
909927;924_3239BpV_34.2;0,000000;0,032000;924_a;34,167904;34,136339
909928;924_3251L_34.1;0,000000;0,058000;924_a;34,152737;34,208696
909929;586_2567AR_80.7;0,000000;0,048000;586__;80,687972;80,736416
909930;588_867BpV_2.3;0,000000;0,031000;588__;2,343081;2,309823
909931;924_347AL_36.0;0,000000;0,170000;924_a;36,031867;36,201584
909932;924_351ApV_36.2;0,000000;0,032000;924_a;36,184962;36,217300
909933;924_353AqV_36.2;0,000000;0,032000;924_a;36,231448;36,263012
909934;653_5R_101.9;0,000000;0,072000;653__;101,882949;101,954534
909935;004_3AR_101.8;0,047740;0,056000;653__;101,800000;101,808175
909936;098_3863V_29.1;0,000000;0,024000;098__;29,092280;29,116645
909937;950_351L_17.5;0,000000;0,819000;950_a;17,536586;18,359990
909938;950_353AL_17.6;0,000000;0,778000;950_a;17,577204;18,359990
909939;543_217AR_15.9;0,000000;0,062000;543_b;15,852353;15,913923
909940;543_217AL_15.9;0,000000;0,060000;543_b;15,852353;15,911990
909941;520_155BpV_0.8;0,000000;0,034000;520_a;0,825445;0,793642
909942;851_916R_130.8;0,000000;0,099000;851_d;130,769371;130,869797
909943;503_103BqV_43.6;0,000000;0,034000;503_c;43,598465;43,632458
909944;503_105L_43.6;0,000000;0,230000;503_c;43,615439;43,386411
909945;503_103BpV_43.6;0,000000;0,034000;503_c;43,598561;43,632594
909946;206_101R_12.2;0,000000;0,468000;206__;12,202369;12,668165
909947;518_119L_63.6;0,000000;0,515000;518__;63,582876;64,093071
909948;518_103BV_63.3;0,000000;0,276000;518__;63,335905;63,610154
909949;801_914R_102.7;0,000000;0,334000;801_b;102,728209;103,060873
909950;112_15R_69.4;0,000000;0,082000;112__;69,373527;69,454173
910237;950_653R_7.2;0,000000;0,562000;950_a;7,156207;6,587186
910238;950_403R_26.8;0,000000;0,168000;950_a;26,765987;26,932463
910239;950_407BqV_26.9;0,000000;0,031000;950_a;26,948094;26,916890
910240;950_107R_6.9;0,000000;0,041000;950_a;6,881808;6,922567
910241;950_321L_17.1;0,000000;0,234000;950_a;17,070172;17,305590
910242;950_646V_7.1;0,000000;0,025000;950_a;7,113157;7,137185
910243;950_303AR_16.2;0,000000;0,055000;950_a;16,200559;16,255286
910244;950_293L_15.4;0,383210;0,918000;950_a;15,739808;16,274145
910245;950_293L_15.4;0,092389;0,383210;950_a;15,447920;15,739808
910246;600_1025BL_11.2;0,000000;0,120000;600_b;11,196755;11,076558
910247;600_1025AR_11.1;0,000000;0,120000;600_b;11,076519;11,196755
910248;115_51AR_11.4;0,000000;0,213000;115_a;11,376887;11,589537
910249;467_5V_20.2;0,000000;0,197724;467_b;20,200000;20,069665
910250;517_157BV_70.0;0,000000;0,093000;517_a;0,001661;0,100248
910251;514_952L_17.4;0,000000;0,064000;514_a;17,349855;17,401125
910252;514_121BV_16.8;0,000000;0,216000;514_a;16,840690;16,624238
910253;520_113BL_0.8;0,000000;0,064000;520_a;0,754649;0,690976
910254;950_661AR_7.3;0,024687;0,094000;468_a;100,000000;100,067258
910255;950_661AR_7.3;0,000000;0,024687;950_a;7,330939;7,355022
910256;545_926V_22.1;0,000000;0,043000;545_b;22,137159;22,180236
910257;545_925L_22.3;0,000000;0,077000;545_b;22,257109;22,180236
910258;545_962L_22.7;0,000000;0,043000;545_b;22,697421;22,740965
910259;545_962R_22.7;0,000000;0,042000;545_b;22,697421;22,739830
910260;609_41AR_28.9;0,000000;0,858000;609__;28,880401;28,022627
909317;515_303AV_50.9;0,017938;2,226280;051__;50,899986;48,700000
909318;515_303AV_50.9;0,000000;0,017938;515_b;50,917838;50,900000
909319;105_453R_29.0;0,000000;0,344000;105__;28,986894;29,330912
909320;531_1333AL_34.6;0,000000;0,119000;531_c;34,579452;34,697167
909321;082_135V_1.5;0,000000;0,017000;082__;1,469315;1,486214
909322;486_60V_201.9;0,000000;1,897372;486_c;201,940362;200,026963
909323;618_135R_50.9;0,000000;0,769000;618_b;50,866701;50,102401
909324;926_17BV_1.2;0,000000;0,590000;926__;1,157133;1,748245
909325;527_99AL_17.2;0,000000;0,040000;527_c;17,266929;17,307411
909326;532_1061BV_12.0;2,788472;3,208000;533__;14,800000;15,219780
909327;532_1061BV_12.0;0,088421;2,788472;101__;12,100000;14,800000
909328;532_1061BV_12.0;0,000000;0,088421;532__;12,011700;12,099996
909329;132_493AR_47.2;0,000000;0,057000;132__;47,175676;47,118455
909330;486_954R_75.1;0,000000;0,040000;486_b;75,103886;75,063921
909331;924_3759V_36.9;0,000000;0,102000;924_a;36,900000;37,001559
909624;937_73L_68.9;0,000000;0,924000;937__;68,880000;69,804303
909625;937_307L_69.8;0,000000;0,041000;937__;69,804303;69,763308
909626;011_303R_69.9;0,097397;0,103000;937__;69,809660;69,804303
909627;011_303R_69.9;0,000000;0,097397;011__;69,906195;69,809742
909628;506_165BR_44.4;0,000000;0,051000;506_b;44,338943;44,287807
909629;506_243BV_45.1;0,000000;0,009000;506_b;45,127260;45,136820
909630;506_163R_44.2;0,000000;0,836000;506_b;44,227071;45,066306
909631;924_3637R_35.9;0,000000;0,799000;924_a;35,923793;36,716717
909632;525_1309AR_180.5;0,000000;0,132000;525_c;180,541105;180,673011
909633;534_1055BV_45.6;0,000000;0,396000;534_b;45,578129;45,975055
909634;534_1051BV_45.6;0,000000;0,294000;534_b;45,591422;45,886737
909635;525_1305BV_180.5;0,000000;0,024000;525_c;180,518125;180,541583
909636;534_1053AR_45.5;0,000000;0,064000;534_b;45,513179;45,578055
909637;950_9R_6.4;0,000000;0,016000;950_a;6,386335;6,401815
909638;950_926R_17.5;0,000000;0,041000;950_a;17,482015;17,521679
909639;950_926L_17.5;0,000000;0,341000;950_a;17,482015;17,821140
909640;950_921AR_17.3;0,000000;0,053000;950_a;17,335853;17,388957
909641;950_1915L_17.3;0,000000;0,169000;950_a;17,307924;17,137484
909642;116_2395AL_37.5;0,000000;0,140000;116__;37,488130;37,627382
909643;624_199R_32.5;0,000000;0,031000;624__;32,518073;32,487816
909951;469_339R_602.1;0,000000;0,216000;469_g;602,091385;602,306426
909952;012_373V_34.1;0,000000;0,011000;012__;34,089210;34,100197
909953;017_1021BV_26.9;0,000000;0,052000;017__;26,859469;26,911748
909954;519_83AL_47.0;0,000000;0,053000;519_a;46,978237;47,030964
909955;561_97BV_59.6;1,920348;2,024000;563_a;0,300000;0,196365
909956;561_97BV_59.6;1,622580;1,920348;561_a;0,599934;0,300000
909957;561_97BV_59.6;1,457132;1,622580;561_e;20,618533;20,466386
