ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26445404;133_1045AL_13.5;133__;0,000000;0,476000;2015-06-04
26441427;950_918V_17.3;950_a;0,000000;0,032000;2015-06-04
26431665;501_911V_80.3;501__;0,000000;0,047000;2015-06-04
26433232;469_52R_401.3;469_e;0,119000;0,210000;2015-06-04
26445296;049_31R_30.9;049__;0,000000;0,138000;2015-06-04
26444677;609_95AR_27.6;609__;0,000000;0,064000;2015-06-04
26446190;618_271V_49.5;618_b;0,000000;0,015000;2015-06-04
26442074;490_106V_105.0;490_c;0,000000;0,148000;2015-06-04
26439098;158_4747V_101.9;039__;5,219000;5,313000;2015-06-04
26438120;664_121BpV_42.5;664_b;0,000000;0,031000;2015-06-04
26443962;032_365L_16.5;032__;0,000000;0,155000;2015-06-04
26434830;520_205V_1.0;520_a;0,000000;0,036000;2015-06-04
26436754;924_3747V_36.8;924_a;0,000000;0,202000;2015-06-04
26439670;084_5L_9.4;084__;0,000000;0,675000;2015-06-04
26445644;057_83AR_19.9;057__;0,000000;7,342000;2015-06-04
26432556;551_115BV_21.9;551_b;0,000000;0,488000;2015-06-04
26445178;008_1221V_10.3;008__;0,000000;10,271000;2015-06-04
26441521;950_225L_17.3;950_a;0,000000;0,222000;2015-06-04
26432256;801_954L_7.9;801_a;0,000000;0,074000;2015-06-04
26442848;555_520L_83.3;555__;0,000000;0,063000;2015-06-04
26434322;486_411BV_77.5;486_b;0,000000;0,048000;2015-06-04
26437670;163_249L_43.3;664_b;0,025000;0,129000;2015-06-04
26442929;115_51BV_11.5;115_a;0,000000;0,026000;2015-06-04
26438533;520_810V_0.9;520_a;0,000000;0,029000;2015-06-04
26433836;938_4627L_3.5;938__;0,000000;0,053000;2015-06-04
26443021;478_1157L_0.8;478_a;0,000000;0,857000;2015-06-04
26434003;507_231AV_93.6;507_b;0,000000;0,050000;2015-06-04
26445867;478_1125BV_0.7;478_a;0,000000;0,035000;2015-06-04
26444468;587_1179V_7.6;585__;0,460000;0,633000;2015-06-04
26431270;900_508V_200.4;900__;0,000000;0,130000;2015-06-04
26444350;527_910R_17.5;527_c;0,000000;0,035000;2015-06-04
26444015;467_012L_101.9;467_c;0,000000;0,037000;2015-06-04
26436230;545_968R_22.8;545_b;0,000000;0,315000;2015-06-04
26446046;527_119AL_17.4;083__;0,545000;6,791000;2015-06-04
26436296;506_562L_43.6;506_b;0,000000;0,551000;2015-06-04
26435957;585_1185R_8.3;585__;0,000000;1,517000;2015-06-04
26442654;534_1051AL_45.5;534_b;0,000000;0,077000;2015-06-04
26436783;540_147AR_81.2;540_d;0,000000;0,083000;2015-06-04
26444034;116_2395AL_37.5;116__;0,000000;0,140000;2015-06-04
26437208;506_523AL_43.3;506_b;0,000000;0,102000;2015-06-04
26441273;164_2485R_253.4;164__;0,000000;0,230000;2015-06-04
26433314;603_141BV_3.3;603_a;0,000000;0,094000;2015-06-04
26442008;586_275AL_81.2;586__;0,000000;0,217000;2015-06-04
26440735;120_9AR_7.7;120__;0,000000;0,059000;2015-06-04
26440761;514_53R_65.3;514_b;0,000000;0,040000;2015-06-04
26440075;529_3641R_22.9;529__;0,000000;0,110000;2015-06-04
26442496;619_1257V_34.7;619__;0,000000;0,062000;2015-06-04
26432522;950_211L_11.8;950_a;0,000000;0,756000;2015-06-04
26435600;486_415AV_77.5;486_b;0,000000;0,401000;2015-06-04
26444511;120_23AR_8.6;120__;0,000000;6,702000;2015-06-04
26440332;021_11AV_86.5;021__;0,000000;18,111000;2015-06-04
26440445;544_1065AR_23.3;544_a;0,232000;0,248000;2015-06-04
26443403;531_839L_33.5;531_c;0,000000;0,322000;2015-06-04
26435205;533_1159BV_16.1;533__;0,000000;1,477000;2015-06-04
26432286;805_7125R_104.5;805_a;0,000000;0,037000;2015-06-04
26445324;478_1117L_0.7;478_a;0,000000;0,112000;2015-06-04
26438901;163_971L_44.6;163__;0,000000;0,103000;2015-06-04
26436859;611_47AR_106.3;039__;0,864000;1,519000;2015-06-04
26435846;008_1245R_21.4;008__;0,000000;0,544000;2015-06-04
26443603;529_3653R_22.7;529__;0,000000;0,051000;2015-06-04
26434127;101_1063L_12.3;101__;0,000000;0,185000;2015-06-04
26445411;506_91L_43.9;506_b;0,000000;0,115000;2015-06-04
26437992;139_5011R_177.2;139__;0,000000;0,092000;2015-06-04
26443445;586_2529AR_80.2;586__;0,000000;0,053000;2015-06-04
26437681;950_335BV_17.4;950_a;0,000000;0,029000;2015-06-04
26444317;555_263ApV_83.4;555__;0,000000;0,032000;2015-06-04
26445035;534_1061L_45.3;534_b;0,000000;0,215000;2015-06-04
26446088;524_261R_70.1;524_b;0,000000;0,177000;2015-06-04
26440924;531_1209AR_34.6;531_c;0,000000;0,045000;2015-06-04
26432228;803_80R_103.5;803_h;0,000000;0,270000;2015-06-04
26435214;950_1007qV_39.8;950_a;0,000000;0,034000;2015-06-04
26437655;525_1305BV_180.5;525_c;0,000000;0,024000;2015-06-04
26444322;556_1423V_6.1;556_b;0,000000;0,006000;2015-06-04
26442133;801_904V_8.3;801_a;0,000000;0,040000;2015-06-04
26439615;544_1111BV_1.1;544_a;0,000000;0,126000;2015-06-04
26433620;035_133BV_52.2;035__;0,000000;0,709000;2015-06-04
26442678;026_251qV_26.9;026__;0,000000;0,032000;2015-06-04
26443104;555_263AR_83.4;555__;0,000000;0,045000;2015-06-04
26436114;089_261BV_45.7;089__;0,000000;0,653000;2015-06-04
26433524;517_77BV_69.5;517_a;0,498000;0,549000;2015-06-04
26438111;474_7V_201.4;474_c;0,000000;0,260000;2015-06-04
26435518;504_903L_17.4;504_b;0,000000;0,042000;2015-06-04
26432030;486_957L_75.0;486_b;0,000000;0,182000;2015-06-04
26432788;525_491R_79.2;525_b;0,000000;0,097000;2015-06-04
26441287;073_904L_1.0;073__;0,000000;0,145000;2015-06-04
26437738;531_199BV_35.5;531_c;0,000000;0,134000;2015-06-04
26439481;123_67R_20.0;123__;0,000000;0,029000;2015-06-04
26435724;119_231AL_17.6;119_a;0,000000;0,194000;2015-06-04
26442488;543_171AL_45.2;543_c;0,000000;0,041000;2015-06-04
26444457;617_1253BV_42.6;617_a;0,000000;0,039000;2015-06-04
26443653;585_1201R_9.7;128__;0,134000;0,700000;2015-06-04
26433663;618_193BV_50.6;618_b;0,000000;0,612000;2015-06-04
26437526;560_61pV_24.8;560__;0,000000;0,034000;2015-06-04
26434922;609_219V_28.8;609__;0,000000;0,044000;2015-06-04
26438497;603_173BqV_3.9;603_a;0,000000;0,034000;2015-06-04
26434226;501_33L_80.2;501__;0,000000;0,188000;2015-06-04
26436887;503_85BR_43.9;503_c;0,000000;0,059000;2015-06-04
26441885;451_8V_1.2;203__;0,496000;0,694000;2015-06-04
26445452;133_1083AL_15.1;133__;0,000000;3,118000;2015-06-04
26434808;542_1171AR_29.1;542_a;0,000000;0,020000;2015-06-04
26442407;624_215AL_32.7;624__;0,000000;0,098000;2015-06-04
26440695;610_147AL_14.3;610__;0,000000;0,045000;2015-06-04
26442348;501_903R_79.7;501__;0,000000;0,222000;2015-06-04
26431082;544_1059AL_23.2;544_b;0,000000;0,133000;2015-06-04
26432919;803_47L_103.0;803_h;0,000000;0,060000;2015-06-04
26445339;586_59BV_80.4;586__;0,000000;0,019000;2015-06-04
26437600;437_953R_0.9;437__;0,000000;0,027000;2015-06-04
26441635;545_920AqV_21.7;545_b;0,000000;0,032000;2015-06-04
26434535;531_1227AqV_34.5;531_c;0,000000;0,034000;2015-06-04
26440867;610_147AqV_14.3;610__;0,000000;0,033000;2015-06-04
26431973;551_145BV_22.9;551_b;0,000000;0,722000;2015-06-04
