ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;6,706;7,549;22-6-2015
2;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;10,662;10,803;22-6-2015
3;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;10,604;10,66;22-6-2015
4;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;7,502;8,356;22-6-2015
5;017_11AL_49.5;Clipped Tuned, type Corus 54E1;0,047;1,397;22-6-2015
6;017_11BV_49.5;Clipped Tuned, type Corus 54E1;0;1,338;22-6-2015
7;017_27R_61.4;Clipped Tuned, type Corus 54E1;0,381;0,656;22-6-2015
8;017_29AL_61.5;Clipped Tuned, type Corus 54E1;0;0,65;22-6-2015
9;017_29BV_61.5;Clipped Tuned, type Corus 54E1;0;0,555;22-6-2015
10;017_353AL_32.0;Schrey & Veit, VICON-AMSA 5RQ;5,788;6,084;22-6-2015
11;017_353AL_32.0;Schrey & Veit, VICON-AMSA 5RQ;7,063;7,361;22-6-2015
12;017_353BV_32.1;Schrey & Veit, VICON-AMSA 5RQ;5,684;5,98;22-6-2015
13;017_353BV_32.1;Schrey & Veit, VICON-AMSA 5RQ;6,959;7,256;22-6-2015
14;017_61BV_71.0;Schrey & Veit, VICON-AMSA 5RQ;9,558;10,942;22-6-2015
15;017_65AR_70.8;Schrey & Veit, VICON-AMSA 5RQ;9,766;10,089;22-6-2015
16;017_65AR_70.8;Schrey & Veit, VICON-AMSA 5RQ;10,341;10,542;22-6-2015
17;017_65AR_70.8;Schrey & Veit, VICON-AMSA 5RQ;10,866;11,146;22-6-2015
18;020_3AV_60.2;Schrey & Veit, VICON-AMSA 5RQ;4,568;4,959;22-6-2015
19;020_3AV_60.2;Clipped Tuned, type Corus 54E1;13,525;13,8;22-6-2015
20;020_3BR_60.3;Schrey & Veit, VICON-AMSA 5RQ;4,656;5,018;22-6-2015
21;020_3BR_60.3;Clipped Tuned, type Corus 54E1;13,535;13,81;22-6-2015
22;021_37AL_67.0;Clipped Tuned, type Corus 54E1;0,949;1,224;22-6-2015
23;021_39L_67.2;Clipped Tuned, type Corus 54E1;0,798;1,073;22-6-2015
24;026_243BV_26.1;Schrey & Veit, VICON-AMSA 54VS;0;0,786;22-6-2015
25;026_243AR_26.0;Schrey & Veit, VICON-AMSA 54VS;0,037;0,91;22-6-2015
26;027_931R_147.6;Schrey & Veit, VICON-AMSA 5RQ;0,064;1,175;22-6-2015
27;027_933R_147.6;Schrey & Veit, VICON-AMSA 54VS;0,045;1;22-6-2015
28;027_941R_148.6;Schrey & Veit, VICON-AMSA 5RQ;0,062;2,168;22-6-2015
29;027_943AV_148.5;Schrey & Veit, VICON-AMSA 54VS;0;0,291;22-6-2015
30;027_945V_148.6;Schrey & Veit, VICON-AMSA 54VS;0;0,579;22-6-2015
31;027_955AR_149.1;Schrey & Veit, VICON-AMSA 54VS;0,046;0,278;22-6-2015
32;027_955BV_149.2;Schrey & Veit, VICON-AMSA 54VS;0;0,3;22-6-2015
33;027_957AR_149.2;Schrey & Veit, VICON-AMSA 54VS;0;0,437;22-6-2015
34;035_145AR_52.9;Schrey & Veit, VICON-AMSA 5RQ;3,054;3,509;22-6-2015
35;035_145BV_53.0;Schrey & Veit, VICON-AMSA 5RQ;2,995;3,45;22-6-2015
36;046_227AL_36.0;Schrey & Veit, VICON-AMSA 5RQ;4,483;4,958;22-6-2015
37;046_227BV_36.1;Schrey & Veit, VICON-AMSA 5RQ;4,422;4,897;22-6-2015
38;046_255AR_41.4;Schrey & Veit, VICON-AMSA 54VS;4,387;5,199;22-6-2015
39;046_255BV_41.6;Schrey & Veit, VICON-AMSA 54VS;4,265;5,072;22-6-2015
40;047_3AV_40.9;Schrey & Veit, VICON-AMSA 5RQ;12,138;12,838;22-6-2015
41;047_3AV_40.9;Schrey & Veit, VICON-AMSA 5RQ;4,875;5,475;22-6-2015
42;047_3BL_41.0;Schrey & Veit, VICON-AMSA 5RQ;12,19;12,89;22-6-2015
43;047_3BL_41.0;Schrey & Veit, VICON-AMSA 5RQ;4,94;5,54;22-6-2015
