ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;
1;009_115AR_148.1;Clipped Tuned, type Corus 54E1;0,600;0,994;22-6-2015;
2;009_115AR_148.1;Clipped Tuned, type Corus 54E1;1,162;1,265;22-6-2015;
3;009_117R_148.2;Clipped Tuned, type Corus 54E1;0,533;0,662;22-6-2015;
4;009_129V_148.9;Clipped Tuned, type Corus 54E1;0,000;0,221;14-4-2015;
5;009_129V_148.9;Clipped Tuned, type Corus 54E1;0,382;0,468;22-6-2015;
6;009_131AL_149.4;Clipped Tuned, type Corus 54E1;0,046;0,329;22-6-2015;
7;009_131BV_149.4;Clipped Tuned, type Corus 54E1;0,000;0,275;22-6-2015;
8;011_299BV_70.0;Clipped Tuned, type Corus 54E1;2,340;2,580;16-9-2015;
9;011_301AR_70.0;Clipped Tuned, type Corus 54E1;2,357;2,465;7-4-2016;
10;011_73V_68.9;Onbekend;1,256;1,455;17-12-2015;
11;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;6,706;7,549;22-6-2015;
12;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;7,549;7,583;22-6-2015;
13;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;10,662;10,803;22-6-2015;
14;013_233AL_88.4;Schrey & Veit, VICON-AMSA 5RQ;10,803;10,854;22-6-2015;
15;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;6,679;7,502;16-9-2015;
16;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;7,502;8,356;22-6-2015;
17;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;10,604;10,660;22-6-2015;
18;013_233BV_88.5;Schrey & Veit, VICON-AMSA 5RQ;10,662;10,797;16-9-2015;
19;017_11AL_49.5;Clipped Tuned, type Corus 54E1;0,047;1,397;22-6-2015;
20;017_11BV_49.5;Clipped Tuned, type Corus 54E1;0,000;1,338;22-6-2015;
21;017_27R_61.4;Clipped Tuned, type Corus 54E1;0,060;0,381;22-6-2015;
22;017_27R_61.4;Clipped Tuned, type Corus 54E1;0,381;0,656;22-6-2015;
23;017_29AL_61.5;Clipped Tuned, type Corus 54E1;0,000;0,650;22-6-2015;
24;017_29BV_61.5;Clipped Tuned, type Corus 54E1;0,000;0,555;22-6-2015;
25;017_33V_62.2;Clipped Tuned, type Corus 54E1;6,546;6,648;6-4-2016;
26;017_351AR_31.8;Clipped Tuned, type Corus 54E1;0,150;0,297;22-6-2015;
27;017_351AV_31.8;Clipped Tuned, type Corus 54E1;0,724;0,944;22-6-2015;
28;017_351BR_31.9;Clipped Tuned, type Corus 54E1;0,867;1,044;22-6-2015;
29;017_351BV_31.9;Clipped Tuned, type Corus 54E1;0,046;0,139;11-4-2016;
30;017_353AL_32.0;Schrey & Veit, VICON-AMSA 5RQ;5,788;6,084;22-6-2015;
