ID;OBJECTTYPE;CG_TYPE;NUMMER;CG_NAAM;PCA;PGO_GEBIED;OBEGINTIJD
1519;contractgebied;BVL;26;Maastricht;Strukton Rail;;2016-04-08
1520;contractgebied;BASIS;81;Rijn en Gouwe;Strukton Rail;Rijn en Gouwe;2016-05-02
1521;contractgebied;BAAN;4;Europoort;VolkerRail;;2016-11-18
1522;contractgebied;BVL;4;Europoort;VolkerRail;;2016-11-18
1523;contractgebied;BASIS;71;A15trace;VolkerRail;;2016-11-18
1524;contractgebied;BAAN;71;A15trace;VolkerRail;;2016-11-18
1525;contractgebied;BVL;71;A15trace;VolkerRail;;2016-11-18
1526;contractgebied;BVL;33;Gelderland;VolkerRail;Veluwe;2013-08-19
1516;contractgebied;BASIS;37;Groningen;Strukton Rail;Wadden;2016-04-07
1517;contractgebied;BASIS;26;Maastricht;Strukton Rail;;2016-04-08
1518;contractgebied;BAAN;26;Maastricht;Strukton Rail;;2016-04-08
1527;contractgebied;BASIS;8;Haarlem;VolkerRail;;2016-09-07
1528;contractgebied;BAAN;8;Haarlem;VolkerRail;;2016-09-07
1529;contractgebied;BAAN;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2017-02-16
1530;contractgebied;BVL;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2017-02-16
1531;contractgebied;BASIS;3;Rotterdam;VolkerRail;Rotterdam;2016-10-06
1532;contractgebied;BASIS;14;Woerden;VolkerRail;;2016-06-13
1435;contractgebied;BVL;23;Boxtel;BAM Rail;;2012-08-09
1436;contractgebied;BVL;31;IJsselstreek;VolkerRail;Veluwe;2012-07-30
1437;contractgebied;BVL;21;Den Bosch;BAM Rail;Betuwe;2012-08-09
1438;contractgebied;BVL;15;Driebergen;VolkerRail;;2012-04-13
1439;contractgebied;BASIS;31;IJsselstreek;VolkerRail;Veluwe;2012-06-26
1534;contractgebied;BAAN;10;Duivendrecht;Strukton Rail;;2016-06-13
1535;contractgebied;BAAN;14;Woerden;VolkerRail;;2016-06-13
1536;contractgebied;BASIS;6;Heerhugowaard;VolkerRail;Hollands Noorderkwartier;2016-10-06
1537;contractgebied;BASIS;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2016-10-06
1538;contractgebied;BVL;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2017-02-16
1539;contractgebied;BAAN;7;Alkmaar;VolkerRail;Hollands Noorderkwartier;2017-02-16
1533;contractgebied;BASIS;10;Duivendrecht;Strukton Rail;;2016-06-13
1440;contractgebied;BAAN;23;Boxtel;BAM Rail;;2012-06-26
1441;contractgebied;BAAN;31;IJsselstreek;VolkerRail;Veluwe;2012-07-26
1540;contractgebied;BAAN;3;Rotterdam;VolkerRail;Rotterdam;2017-02-16
1541;contractgebied;BASIS;23;Boxtel;BAM Rail;;2013-12-16
1542;contractgebied;BVL;3;Rotterdam;VolkerRail;Rotterdam;2017-02-16
1543;contractgebied;BASIS;13;Utrecht;VolkerRail;;2013-12-16
1544;contractgebied;BASIS;15;Driebergen;VolkerRail;;2013-12-16
1442;contractgebied;BVL;22;Geldermalsen;BAM Rail;Betuwe;2012-08-24
1443;contractgebied;BVL;11;Weesp;Strukton Rail;;2013-08-19
1444;contractgebied;BASIS;11;Weesp;Strukton Rail;;2015-05-01
1445;contractgebied;BASIS;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1550;contractgebied;BAAN;9;Amsterdam;Strukton Rail;;2016-05-19
1551;contractgebied;BVL;9;Amsterdam;Strukton Rail;;2016-05-19
1545;contractgebied;BASIS;9;Amsterdam;Strukton Rail;;2016-04-22
1546;contractgebied;BVL;20;Breda;BAM Rail;;2016-04-07
1547;contractgebied;BAAN;70;HSL;Infraspeed;;2016-04-07
1548;contractgebied;BVL;70;HSL;Infraspeed;;2016-04-07
1549;contractgebied;BAAN;81;Rijn en Gouwe;Strukton Rail;Rijn en Gouwe;2016-05-02
1446;contractgebied;BAAN;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1447;contractgebied;BVL;81;Rijn en Gouwe;Strukton Rail;Rijn en Gouwe;2016-04-18
1448;contractgebied;BVL;2;Den Haag;BAM Rail;Den Haag;2016-04-18
1449;contractgebied;BASIS;36;Friesland;Strukton Rail;Wadden;2016-01-29
1450;contractgebied;BAAN;36;Friesland;Strukton Rail;Wadden;2016-01-29
1451;contractgebied;BVL;36;Friesland;Strukton Rail;Wadden;2016-01-29
1452;contractgebied;BASIS;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1453;contractgebied;BASIS;29;Gelderse Vallei;VolkerRail;Veluwe;2016-03-07
1454;contractgebied;BAAN;29;Gelderse Vallei;VolkerRail;Veluwe;2016-03-07
1455;contractgebied;BAAN;12;Amersfoort;ASSET Rail;Eemland;2016-03-07
1456;contractgebied;BAAN;1;Leiden;Strukton Rail;Rijn en Gouwe;2016-01-14
1457;contractgebied;BAAN;15;Driebergen;VolkerRail;;2012-08-17
1458;contractgebied;BASIS;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1459;contractgebied;BASIS;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1460;contractgebied;BAAN;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1461;contractgebied;BAAN;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1462;contractgebied;BVL;35;Drenthe;ASSET Rail;Drenthe;2017-06-06
1464;contractgebied;BASIS;33;Gelderland;VolkerRail;Veluwe;2016-03-03
1465;contractgebied;BAAN;33;Gelderland;VolkerRail;Veluwe;2016-03-03
1466;contractgebied;BVL;24;Eindhoven;ASSET Rail;De Peel;2017-06-06
1467;contractgebied;BVL;1;Leiden;Strukton Rail;Rijn en Gouwe;2013-08-23
1468;contractgebied;BVL;16;Maarn;ASSET Rail;Eemland;2013-08-30
1469;contractgebied;BVL;12;Amersfoort;ASSET Rail;Eemland;2013-08-30
1470;contractgebied;BVL;5;Dordrecht;Strukton Rail;;2014-01-06
1471;contractgebied;BAAN;32;Twente;VolkerRail;Twente;2016-04-04
1472;contractgebied;BVL;32;Twente;VolkerRail;Twente;2016-04-04
1463;contractgebied;BVL;34;Overijssel;ASSET Rail;Drenthe;2017-06-06
1473;contractgebied;BAAN;37;Groningen;Strukton Rail;Wadden;2016-04-07
1474;contractgebied;BVL;37;Groningen;Strukton Rail;Wadden;2016-04-07
1475;contractgebied;BVL;19;Roosendaal;Strukton Rail;Zeeland;2017-05-31
1476;contractgebied;BVL;18;Goes;Strukton Rail;Zeeland;2017-05-31
1477;contractgebied;BASIS;30;Achterhoek;ASSET Rail;Gelre;2017-05-31
1478;contractgebied;BASIS;28;Maas en Waal;ASSET Rail;Gelre;2017-05-31
1479;contractgebied;BAAN;30;Achterhoek;ASSET Rail;Gelre;2017-05-31
1483;contractgebied;BASIS;1;Leiden;Strukton Rail;Rijn en Gouwe;2016-01-14
1484;contractgebied;BAAN;11;Weesp;Strukton Rail;;2013-08-16
1485;contractgebied;BVL;10;Duivendrecht;Strukton Rail;;2016-04-22
1480;contractgebied;BAAN;28;Maas en Waal;ASSET Rail;Gelre;2017-05-31
1481;contractgebied;BVL;28;Maas en Waal;ASSET Rail;Gelre;2017-05-31
1482;contractgebied;BVL;30;Achterhoek;ASSET Rail;Gelre;2017-05-31
1486;contractgebied;BAAN;19;Roosendaal;Strukton Rail;Zeeland;2017-05-31
1487;contractgebied;BAAN;18;Goes;Strukton Rail;Zeeland;2017-05-31
1488;contractgebied;BASIS;18;Goes;Strukton Rail;Zeeland;2017-05-31
1489;contractgebied;BAAN;5;Dordrecht;Strukton Rail;;2016-01-05
1490;contractgebied;BAAN;22;Geldermalsen;BAM Rail;Betuwe;2016-01-05
1491;contractgebied;BASIS;22;Geldermalsen;BAM Rail;Betuwe;2016-01-05
1492;contractgebied;BASIS;5;Dordrecht;Strukton Rail;;2016-01-05
1493;contractgebied;BASIS;32;Twente;VolkerRail;Twente;2016-04-04
1494;contractgebied;BVL;29;Gelderse Vallei;VolkerRail;Veluwe;2013-08-19
1501;contractgebied;BASIS;4;Europoort;VolkerRail;;2016-11-18
1495;contractgebied;BAAN;13;Utrecht;VolkerRail;;2016-06-06
1496;contractgebied;BVL;13;Utrecht;VolkerRail;;2016-06-06
1497;contractgebied;BVL;14;Woerden;VolkerRail;;2016-06-06
1498;contractgebied;BASIS;25;Roermond;Strukton Rail;;2016-04-25
1499;contractgebied;BAAN;25;Roermond;Strukton Rail;;2016-04-25
1500;contractgebied;BVL;25;Roermond;Strukton Rail;;2016-04-25
1502;contractgebied;BASIS;19;Roosendaal;Strukton Rail;Zeeland;2017-05-31
1503;contractgebied;BASIS;21;Den Bosch;BAM Rail;Betuwe;2016-04-29
1504;contractgebied;BASIS;20;Breda;BAM Rail;;2016-04-29
1505;contractgebied;BAAN;21;Den Bosch;BAM Rail;Betuwe;2016-04-29
1506;contractgebied;BAAN;20;Breda;BAM Rail;;2016-04-29
1507;contractgebied;BVL;27;Venlo;ASSET Rail;De Peel;2017-05-31
1508;contractgebied;BAAN;27;Venlo;ASSET Rail;De Peel;2017-05-31
1509;contractgebied;BAAN;24;Eindhoven;ASSET Rail;De Peel;2017-05-31
1511;contractgebied;BASIS;24;Eindhoven;ASSET Rail;De Peel;2017-05-31
1512;contractgebied;BASIS;16;Maarn;ASSET Rail;Eemland;2016-01-05
1513;contractgebied;BAAN;16;Maarn;ASSET Rail;Eemland;2016-01-05
1514;contractgebied;BASIS;70;HSL;Infraspeed;;2016-04-07
1515;contractgebied;BVL;8;Haarlem;VolkerRail;;2016-09-07
1510;contractgebied;BASIS;27;Venlo;ASSET Rail;De Peel;2017-05-31
