ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
149324998;011_13R_67.9;T;0,000;0,886;40;2018-11-28
149324999;011_14L_67.9;T;0,000;0,662;40;2018-11-28
149325000;011_14R_67.9;T;0,000;0,663;40;2018-11-28
149325001;011_15L_68.0;T;0,000;0,642;40;2018-11-28
149325002;011_15R_68.0;T;0,000;0,042;40;2018-11-28
149325003;011_16L_68.0;T;0,000;0,544;40;2018-11-28
149324297;501_119L_80.7;T;0,000;0,154;40;2018-11-28
149324421;002_345BV_50.6;T;0,000;0,025;140;2018-11-28
149324723;032_3V_15.8;T;0,097;1,879;60;2018-11-28
149324724;032_5R_15.9;T;0,000;0,046;40;2018-11-28
149324725;032_5V_15.9;T;0,000;0,070;40;2018-11-28
149324726;032_7L_16.0;T;0,000;0,264;40;2018-11-28
149324727;032_7R_16.0;T;0,000;0,364;40;2018-11-28
149324728;032_32L_16.5;T;0,000;0,542;40;2018-11-28
149324729;032_32R_16.5;T;0,000;0,368;>=40;2018-11-28
149324730;032_32V_16.5;T;0,000;0,162;40;2018-11-28
149328339;055_407V_29.5;T;0,000;0,060;160;2018-11-28
149328340;055_411AL_29.5;T;0,000;0,059;40;2018-11-28
149328341;055_411AR_29.5;T;0,000;0,186;160;2018-11-28
149328342;055_411BV_29.5;T;0,000;0,067;160;2018-11-28
149328343;055_413AL_29.6;T;0,000;7,484;160;2018-11-28
149328344;055_413AL_29.6;T;7,484;7,519;160;2018-11-28
149328345;055_413AL_29.6;T;7,519;7,782;130;2018-11-28
149328346;055_413AR_29.6;T;0,000;0,060;40;2018-11-28
149328347;055_413BV_29.6;T;0,000;7,425;160;2018-11-28
149328348;055_413BV_29.6;T;7,425;7,460;160;2018-11-28
149328349;055_413BV_29.6;T;7,460;7,783;130;2018-11-28
149328350;055_423AL_37.4;T;0,000;0,194;130;2018-11-28
149328351;055_423AR_37.4;T;0,000;0,060;40;2018-11-28
149326181;469_901L_100.7;T;0,000;0,362;40;2018-11-28
149326182;469_901R_100.7;T;0,000;0,360;40;2018-11-28
149326183;815_243L_4.5;T;0,000;0,561;40;2018-11-28
149326184;815_243R_4.5;T;0,000;0,560;80;2018-11-28
149326185;815_251L_5.0;T;0,000;1,615;80;2018-11-28
149326406;127_479AR_73.8;T;0,000;0,192;80;2018-11-28
149326407;127_479BV_73.8;T;0,000;0,052;80;2018-11-28
149326408;127_483R_73.9;T;0,000;0,103;40;2018-11-28
149326409;127_483V_73.9;T;0,000;0,008;80;2018-11-28
149326410;127_485AL_73.9;T;0,000;0,039;80;2018-11-28
149326411;127_485AR_73.9;T;0,000;0,064;40;2018-11-28
149326412;127_485BV_74.0;T;0,000;0,017;80;2018-11-28
149326413;127_487L_73.9;T;0,000;0,379;40;2018-11-28
149326414;127_487R_73.9;T;0,000;0,074;80;2018-11-28
149326415;127_487R_73.9;T;0,074;0,379;80;2018-11-28
149326416;127_489L_74.0;T;0,000;0,062;80;2018-11-28
149326417;127_489L_74.0;T;0,062;0,329;80;2018-11-28
149326418;127_489R_74.0;T;0,000;0,331;40;2018-11-28
149326419;127_501V_74.2;T;0,000;0,114;40;2018-11-28
149326420;127_503L_73.8;T;0,000;0,277;40;2018-11-28
149326421;127_503V_73.8;T;0,000;0,530;40;2018-11-28
149326422;127_540L_49.7;T;0,000;0,306;40;2018-11-28
149326423;127_540R_49.7;T;0,000;0,303;40;2018-11-28
149326424;127_540V_49.7;T;0,000;0,035;>=40;2018-11-28
149326425;127_541V_49.8;T;0,000;0,027;40;2018-11-28
149326426;127_542L_49.8;T;0,000;0,221;40;2018-11-28
149326427;127_542V_49.8;T;0,000;0,214;40;2018-11-28
149326428;127_661AL_61.6;T;0,000;0,063;40;2018-11-28
149328398;516_903R_1.9;T;0,000;0,030;40;2018-11-28
149328719;135_2067R_42.9;T;2,344;3,065;180;2018-11-28
149329173;013_233AL_88.4;T;5,438;5,554;140;2018-11-28
149329278;603_65R_2.4;T;0,127;12,928;100;2018-11-28
149329279;603_65V_2.4;T;0,000;0,017;40;2018-11-28
149329280;603_67L_2.4;T;0,000;0,201;40;2018-11-28
149329281;603_67R_2.4;T;0,000;0,038;40;2018-11-28
149329282;603_69AL_2.4;T;0,000;0,087;40;2018-11-28
149329283;603_69AR_2.4;T;0,000;0,094;40;2018-11-28
149329284;603_69BV_2.4;T;0,000;0,024;40;2018-11-28
149329285;603_71AL_2.4;T;0,000;0,069;40;2018-11-28
149329286;603_71AR_2.4;T;0,000;0,137;40;2018-11-28
149329287;603_71BV_2.5;T;0,000;0,002;40;2018-11-28
149329288;603_73L_2.5;T;0,000;0,050;40;2018-11-28
149329289;603_73R_2.5;T;0,000;0,147;40;2018-11-28
149329290;603_79AL_2.4;T;0,000;0,230;40;2018-11-28
149329291;603_79AR_2.4;T;0,000;0,046;40;2018-11-28
149325849;520_971R_0.6;T;0,000;0,363;40;2018-11-28
149325850;520_972V_1.0;T;0,000;0,027;40;2018-11-28
149325851;520_985V_1.3;T;0,000;0,293;40;2018-11-28
149325852;060_1405L_50.6;T;0,000;1,867;100;2018-11-28
149325853;060_1405R_50.6;T;0,000;1,865;80;2018-11-28
149324298;501_119R_80.7;T;0,000;0,088;40;2018-11-28
149324299;501_119V_80.7;T;0,000;0,246;40;2018-11-28
149324300;501_121L_80.8;T;0,000;0,333;40;2018-11-28
149324301;501_121pV_80.8;T;0,000;0,033;40;2018-11-28
149324302;501_123AL_80.8;T;0,000;0,065;40;2018-11-28
149324303;501_123AR_80.8;T;0,000;0,067;40;2018-11-28
149324304;501_123BL_80.9;T;0,000;0,079;40;2018-11-28
149324305;501_123BV_80.9;T;0,000;0,014;40;2018-11-28
149324306;501_125V_80.9;T;0,000;0,080;40;2018-11-28
149324307;501_127L_80.8;T;0,000;0,347;40;2018-11-28
149324308;501_127R_80.8;T;0,000;0,347;40;2018-11-28
149324309;501_127V_80.8;T;0,000;0,039;40;2018-11-28
149324310;501_129L_80.8;T;0,000;0,032;40;2018-11-28
149324311;501_131V_80.6;T;0,000;0,037;40;2018-11-28
149324312;501_133qV_80.7;T;0,000;0,032;40;2018-11-28
149324313;501_135L_80.7;T;0,000;0,072;40;2018-11-28
149324314;501_135R_80.7;T;0,000;0,056;40;2018-11-28
149324403;552_257BV_83.2;T;2,962;3,157;80;2018-11-28
149324404;552_261L_83.2;T;0,000;0,164;90;2018-11-28
149324405;552_261L_83.2;T;0,164;3,215;100;2018-11-28
149324702;139_111V_175.8;T;0,427;0,467;80;2018-11-28
149324703;490_121L_8.9;T;0,000;0,107;30;2018-11-28
149324704;490_121L_8.9;T;0,107;0,113;40;2018-11-28
149324705;490_121V_8.9;T;0,000;1,063;40;2018-11-28
149324643;076_1621V_11.6;T;0,000;0,177;40;2018-11-28
149324644;076_1625pV_11.6;T;0,000;0,034;40;2018-11-28
149324645;076_1627L_11.5;T;0,000;0,048;40;2018-11-28
