ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_VAN;SPOORTAK_TOT;DATUM_VERWERKING;DATUM_METING;BOOGSTRAAL_VAN;BOOGSTRAAL_TOT;ELEMENTTYPE;BOOG_ID
1;011_14R_67.9;0,28;0,364;01-07-2017;01-07-2017;-1200;-1200;BOOG;011_406a_68.028
2;011_14R_67.9;0,379;0,394;01-07-2017;01-07-2017;-1000;-1000;BOOG;011_406a_67.959
3;011_14R_67.9;0,402;0,453;01-07-2017;01-07-2017;-1200;-1200;BOOG;011_406a_67.995
4;011_14R_67.9;0,477;0,493;01-07-2017;01-07-2017;-2500;-2500;BOOG;011_406a_67.96
5;011_14R_67.9;0,553;0,569;01-07-2017;01-07-2017;-25000;-25000;BOOG;011_406a_67.96
6;011_14R_67.9;0,599;0,622;01-07-2017;01-07-2017;-250;-250;BOOG;011_406a_67.967
7;011_14R_67.9;0,622;0,636;01-07-2017;01-07-2017;-800;-800;BOOG;011_406a_67.958
8;011_15L_68.0;0,003;0,004;01-07-2017;01-07-2017;-250;-250;BOOG;011_15_67.983
9;011_15L_68.0;0,004;0,011;01-07-2017;01-07-2017;-190;-190;BOOG;011_15_67.989
10;011_15L_68.0;0,011;0,023;01-07-2017;01-07-2017;-200;-200;BOOG;011_15_67.994
11;011_15L_68.0;0,033;0,049;01-07-2017;01-07-2017;5000;5000;BOOG;011_407a_67.998
12;011_15L_68.0;0,154;0,178;01-07-2017;01-07-2017;-2000;-2000;BOOG;011_407a_68.006
13;011_15L_68.0;0,178;0,224;01-07-2017;01-07-2017;-1500;-1500;BOOG;011_407a_68.028
14;011_15L_68.0;0,224;0,252;01-07-2017;01-07-2017;-1900;-1900;BOOG;011_407a_68.01
15;011_15L_68.0;0,252;0,36;01-07-2017;01-07-2017;-1500;-1500;BOOG;011_407a_68.09
16;011_15L_68.0;0,36;0,382;01-07-2017;01-07-2017;-1200;-1200;BOOG;011_407a_68.004
17;011_15L_68.0;0,382;0,41;01-07-2017;01-07-2017;-1400;-1400;BOOG;011_407a_68.01
18;011_15L_68.0;0,41;0,464;01-07-2017;01-07-2017;-4900;-4900;BOOG;011_407a_68.036
19;011_15L_68.0;0,525;0,538;01-07-2017;01-07-2017;-25000;-25000;BOOG;011_407a_67.995
20;011_15L_68.0;0,553;0,595;01-07-2017;01-07-2017;-420;-420;BOOG;011_407a_68.024
21;011_15L_68.0;0,595;0,612;01-07-2017;01-07-2017;-2000;-2000;BOOG;011_407a_67.999
22;011_15L_68.0;0,612;0,615;01-07-2017;01-07-2017;-250;-250;BOOG;011_407a_67.985
23;011_15L_68.0;0,619;0,631;01-07-2017;01-07-2017;-200;-200;BOOG;011_32_67.994
24;011_15L_68.0;0,631;0,638;01-07-2017;01-07-2017;-190;-190;BOOG;011_32_67.989
25;011_15L_68.0;0,638;0,639;01-07-2017;01-07-2017;-250;-250;BOOG;011_32_67.983
26;011_15R_68.0;0,029;0,042;01-07-2017;01-07-2017;6000;6000;BOOG;011_w15r-w16v_67.995
27;011_16L_68.0;0,002;0,003;01-07-2017;01-07-2017;-250;-250;BOOG;011_16_68.025
28;011_16L_68.0;0,003;0,01;01-07-2017;01-07-2017;-190;-190;BOOG;011_16_68.031
29;011_16L_68.0;0,01;0,022;01-07-2017;01-07-2017;-200;-200;BOOG;011_16_68.036
30;011_16L_68.0;0,027;0,04;01-07-2017;01-07-2017;-4605;-4605;BOOG;011_408a_68.037
31;011_16L_68.0;0,119;0,155;01-07-2017;01-07-2017;-3500;-3500;BOOG;011_408a_68.06
32;011_16L_68.0;0,155;0,19;01-07-2017;01-07-2017;-1000;-1000;BOOG;011_408a_68.059
33;011_16L_68.0;0,19;0,269;01-07-2017;01-07-2017;-1700;-1700;BOOG;011_408a_68.103
34;011_16L_68.0;0,269;0,321;01-07-2017;01-07-2017;-1300;-1300;BOOG;011_408a_68.076
35;011_16L_68.0;0,321;0,336;01-07-2017;01-07-2017;-1950;-1950;BOOG;011_408a_68.039
36;011_16L_68.0;0,336;0,388;01-07-2017;01-07-2017;-1535;-1535;BOOG;011_408a_68.076
37;011_16L_68.0;0,456;0,46;01-07-2017;01-07-2017;-30000;-30000;BOOG;011_408a_68.028
38;011_16L_68.0;0,507;0,517;01-07-2017;01-07-2017;-570;-570;BOOG;011_408a_68.034
39;011_16L_68.0;0,522;0,534;01-07-2017;01-07-2017;-200;-200;BOOG;011_29_68.036
40;011_16L_68.0;0,534;0,541;01-07-2017;01-07-2017;-190;-190;BOOG;011_29_68.031
41;011_16L_68.0;0,541;0,542;01-07-2017;01-07-2017;-250;-250;BOOG;011_29_68.025
42;011_16R_68.0;0,029;0,077;01-07-2017;01-07-2017;-420;-420;BOOG;011_409a_68.072
43;011_16R_68.0;0,137;0,209;01-07-2017;01-07-2017;-1250;-1250;BOOG;011_409a_68.096
44;011_16R_68.0;0,209;0,245;01-07-2017;01-07-2017;-2000;-2000;BOOG;011_409a_68.06
45;011_16R_68.0;0,245;0,334;01-07-2017;01-07-2017;-1450;-1450;BOOG;011_409a_68.113
46;011_16R_68.0;0,334;0,356;01-07-2017;01-07-2017;-2000;-2000;BOOG;011_409a_68.046
47;011_16R_68.0;0,356;0,387;01-07-2017;01-07-2017;-1200;-1200;BOOG;011_409a_68.055
48;011_16R_68.0;0,474;0,518;01-07-2017;01-07-2017;-350;-350;BOOG;011_409a_68.068
49;011_28L_68.5;0,003;0,004;01-07-2017;01-07-2017;-250;-250;BOOG;011_28_68.505
50;011_28L_68.5;0,004;0,011;01-07-2017;01-07-2017;-190;-190;BOOG;011_28_68.511
51;011_28L_68.5;0,011;0,023;01-07-2017;01-07-2017;-200;-200;BOOG;011_28_68.516
52;011_28L_68.5;0,037;0,061;01-07-2017;01-07-2017;5000;5000;BOOG;011_412a_68.528
53;011_28L_68.5;0,107;0,127;01-07-2017;01-07-2017;-15000;-15000;BOOG;011_412a_68.524
54;011_28L_68.5;0,201;0,233;01-07-2017;01-07-2017;-25000;-25000;BOOG;011_412a_68.536
55;011_28L_68.5;0,262;0,282;01-07-2017;01-07-2017;315;315;BOOG;011_412a_68.524
56;011_28R_68.5;0,04;0,082;01-07-2017;01-07-2017;350;350;BOOG;011_w28r-w33r_68.546
57;011_293AL_70.2;0,085;0,108;01-08-2001;01-08-2001;-10000;-10000;BOOG;011_w293Al-w295l_70.257
58;011_293AR_70.2;0,005;0,023;01-08-2001;01-08-2001;-250;-250;BOOG;011_293A_70.252
59;011_293AR_70.2;0,023;0,028;01-08-2001;01-08-2001;-195;-195;BOOG;011_293A_70.239
60;011_293AR_70.2;0,033;0,038;01-01-2009;01-01-2009;5000;5000;BOOG;011_293B_70.239
61;011_293AR_70.2;0,056;0,058;01-04-2014;01-04-2014;195;195;BOOG;011_293B_70.236
62;011_293AR_70.2;0,058;0,059;01-04-2014;01-04-2014;250;250;BOOG;011_293B_70.235
63;011_295R_70.1;0,002;0,005;01-08-2001;01-08-2001;250;250;BOOG;011_295_70.102
64;011_295R_70.1;0,005;0,023;01-08-2001;01-08-2001;195;195;BOOG;011_295_70.117
65;011_295V_70.1;0,101;0,138;01-02-2009;01-02-2009;-3700;-3700;BOOG;011_s303b-w301Br_70.136
66;011_295V_70.1;0,138;0,143;01-02-2009;01-02-2009;999999;999999;BOOG;011_s303b-w301Br_70.104
67;011_295V_70.1;0,161;0,163;01-02-2009;01-02-2009;195;195;BOOG;011_301B_70.101
68;011_295V_70.1;0,163;0,165;01-02-2009;01-02-2009;250;250;BOOG;011_301B_70.101
69;011_297AL_70.1;0,045;0,048;01-04-2014;01-04-2014;725;725;BOOG;011_297A_70.147
70;011_297AR_70.1;0,142;0,143;01-04-2014;01-04-2014;-4800;-4800;BOOG;011_w297Ar-w299Bl_70.145
71;011_299AL_70.0;0,032;0,04;01-04-2014;01-04-2014;7000;7000;BOOG;011_w299Al-w301Av_70.041
72;011_299AR_70.0;0,034;0,051;01-04-2014;01-04-2014;-800;-800;BOOG;011_299B_70.05
73;011_299BV_70.0;0,003;0,06;01-04-2014;01-04-2014;-2000;-2000;BOOG;011_w299Bv-sPG_70.025
74;011_299BV_70.0;0,105;0,142;01-04-2014;01-04-2014;11000;11000;BOOG;011_PG_70.005
75;011_299BV_70.0;0,185;1,316;01-04-2014;01-04-2014;-12000;-12000;BOOG;011_PG_71.099
76;011_299BV_70.0;1,81;1,917;01-04-2014;01-04-2014;-1534;-1534;BOOG;011_PG_70.075
77;011_299BV_70.0;2,584;2,66;01-04-2014;01-04-2014;20000;20000;BOOG;011_sPG-w441Al_70.044
78;011_299BV_70.0;2,675;2,764;01-04-2014;01-04-2014;-25000;-25000;BOOG;011_sPG-w441Al_70.057
79;011_29V_68.6;0;0,006;01-07-2017;01-07-2017;-190;-190;BOOG;011_w29v-w32l_68.564
80;011_29V_68.6;0,006;0,024;01-07-2017;01-07-2017;-400;-400;BOOG;011_w29v-w32l_68.576
81;011_29V_68.6;0,024;0,03;01-07-2017;01-07-2017;-190;-190;BOOG;011_w29v-w32l_68.564
82;011_301AL_70.0;0,014;0,032;01-04-2014;01-04-2014;-7000;-7000;BOOG;011_301A_70.011
83;011_301AR_70.0;0,014;0,024;01-04-2014;01-04-2014;-7000;-7000;BOOG;011_OG_70.003
84;011_301AR_70.0;0,024;0,032;01-04-2014;01-04-2014;-7000;-7000;BOOG;011_OG_70.001
85;011_301AR_70.0;0,032;0,046;01-04-2014;01-04-2014;10000;10000;BOOG;011_OG_70.007
86;055_399BV_19.7;2,088;2,093;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.677
87;055_399BV_19.7;2,646;2,65;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.676
88;055_399BV_19.7;2,793;2,802;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.681
89;055_399BV_19.7;2,908;2,913;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.677
90;055_399BV_19.7;3,353;3,36;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.679
91;055_399BV_19.7;3,449;3,466;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.689
92;055_399BV_19.7;3,624;3,637;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.685
93;055_399BV_19.7;3,858;3,865;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.679
94;055_399BV_19.7;4,024;4,03;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.678
95;055_399BV_19.7;4,149;4,154;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.677
96;055_399BV_19.7;4,838;4,841;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.675
97;055_399BV_19.7;6,591;6,593;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.674
98;055_399BV_19.7;7,112;7,117;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.677
99;055_399BV_19.7;7,362;7,363;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.673
100;055_399BV_19.7;7,533;7,539;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.678
101;055_399BV_19.7;7,676;7,682;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.678
102;055_399BV_19.7;7,969;7,973;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.676
103;055_399BV_19.7;8,448;8,588;01-03-2014;01-03-2014;2120;2120;BOOG;055_GD_19.812
104;055_399BV_19.7;8,846;8,886;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.712
105;055_399BV_19.7;8,954;8,983;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.701
106;055_399BV_19.7;9,023;9,039;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_GD_19.688
107;055_399BV_19.7;9,248;9,268;01-03-2014;01-03-2014;25000;25000;BOOG;055_GD_19.692
108;055_399BV_19.7;9,643;9,657;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_sGD-w407l_19.686
109;055_399BV_19.7;9,702;9,719;01-03-2014;01-03-2014;25000;25000;BOOG;055_sGD-w407l_19.689
110;055_407R_29.5;0,004;0,022;01-03-2014;01-03-2014;-250;-250;BOOG;055_407_29.479
111;055_407R_29.5;0,022;0,028;01-03-2014;01-03-2014;-195;-195;BOOG;055_407_29.467
112;055_407R_29.5;0,035;0,045;01-06-2015;01-06-2015;-2000;-2000;BOOG;055_w407r-s93_29.471
113;055_407R_29.5;0,052;0,07;01-06-2015;01-06-2015;10000;10000;BOOG;055_w407r-s93_29.479
114;055_407R_29.5;0,101;0,12;01-06-2015;01-06-2015;1143;1143;BOOG;055_w407r-s93_29.48
115;055_407R_29.5;0,12;0,141;01-06-2015;01-06-2015;480;480;BOOG;055_w407r-s93_29.482
116;055_407R_29.5;0,141;0,181;01-06-2015;01-06-2015;450;450;BOOG;055_w407r-s93_29.501
117;055_407R_29.5;0,192;0,212;01-06-2015;01-06-2015;-7000;-7000;BOOG;055_93_29.481
118;055_407R_29.5;0,221;0,405;01-06-2015;01-06-2015;7000;7000;BOOG;055_93_29.645
119;055_411AR_29.5;0,128;0,13;01-03-2014;01-03-2014;-25000;-25000;BOOG;055_w411Ar-w413Bl_29.464
