ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161677278;529_3643R_22.9;sAR3-sAR4;S;3,048;3,460;2019-06-13;;;4453;4466;BED_SEIN;BED_SEIN
161677279;529_3643R_22.9;sAR2-sAR3;S;1,619;2,297;2019-06-13;;;4433;4446;BED_SEIN;BED_SEIN
161677280;529_3643R_22.9;sAR1-sAR2;S;0,719;0,972;2019-06-13;;;4413;4426;BED_SEIN;BED_SEIN
161677281;529_3643R_22.9;w3643r-sAR1;S;0,048;0,248;2019-06-13;;;3643;3656;WISSEL;BED_SEIN
161677283;609_41BV_28.8;w41Bv-w43v;S;0,000;0,012;2019-06-13;;;41B;43;WISSEL;WISSEL
161677284;513_123AL_26.1;w123A/125v-w133A/123Bv;S;0,017;0,020;2019-06-13;;;123A/125;133A/123B;WISSEL;WISSEL
161677285;823_11L_3.9;s1-w21A/21Bv;S;1,779;1,816;2019-06-13;;;;21A/21B;STOP_BD;WISSEL
161677286;950_435BV_27.9;w435Bv-w439v;S;0,000;0,030;2019-06-13;;;435B;439;WISSEL;WISSEL
161677287;163_973V_44.7;w973v-w985v;S;0,000;0,018;2019-06-13;;;973;985;WISSEL;WISSEL
161677288;603_153AR_3.4;s201-w173A/169Bv;S;0,372;0,486;2019-06-13;;;178;173A/169B;BED_SEIN;WISSEL
161677289;603_153AR_3.4;w153Ar-s201;S;0,027;0,195;2019-06-13;;;153A;160;WISSEL;BED_SEIN
161677291;553_323AL_22.5;w323Al-w325Br;S;0,048;0,191;2019-06-13;;;323A;325B;WISSEL;WISSEL
161677292;504_57BV_18.3;w57Bv-w71Bl;S;0,000;0,072;2019-06-13;;;57B;71B;WISSEL;WISSEL
161683258;618_121AL_51.1;k253A/B-w271r;S;0,982;1,465;2019-06-13;;;253A/B;271;KRUISING;WISSEL
161683131;089_291AL_46.3;w291Al-w293Av;S;0,029;0,099;2019-06-13;;;291A;293A;WISSEL;WISSEL
161683132;506_205BV_44.6;w205Bv-w207v;S;0,000;0,009;2019-06-13;;;205B;207;WISSEL;WISSEL
161683133;927_7BV_904.3;w7Bv-w11Br;S;0,000;0,070;2019-06-13;;;7B;11B;WISSEL;WISSEL
161683134;603_167AL_3.8;w167A/165v-w171l;S;0,017;0,047;2019-06-13;;;167A/165;171;WISSEL;WISSEL
161683136;550_941L_25.4;w941l-w942v;S;0,027;0,076;2019-06-13;;;941;942;WISSEL;WISSEL
161683137;624_171L_32.1;s5b-w191Av;S;0,231;0,269;2019-06-13;;;192;191A;BED_SEIN;WISSEL
161683138;624_171L_32.1;w171l-s5b;S;0,039;0,076;2019-06-13;;;171;174;WISSEL;BED_SEIN
161676073;555_295BV_83.6;w295Bv-w297l;S;0,000;0,045;2019-06-13;;;295B;297;WISSEL;WISSEL
161676074;588_845BR_2.1;w845B/845Av-w847v;S;0,016;0,016;2019-06-13;;;845B/845A;847;WISSEL;WISSEL
161676075;512_445L_11.4;s96-w461Av;S;0,882;0,890;2019-06-13;;;462;461A;BED_SEIN;WISSEL
161676076;512_445L_11.4;w445l-s96;S;0,048;0,122;2019-06-13;;;445;452;WISSEL;BED_SEIN
161676077;607_77R_44.0;w77r-s20a;S;0,028;0,056;2019-06-13;;;77;St77;WISSEL;STOPONTSPRBLOK
161676078;076_1667R_12.4;w1667r-w1669r;S;0,029;0,058;2019-06-13;;;1667;1669;WISSEL;WISSEL
161676079;805_517V_100.2;w517v-sj;S;0,000;0,033;2019-06-13;;;517;SJ_517V;WISSEL;STOOTJUK
161676080;924_2373V_37.4;w2373v-w2395Av;S;0,000;0,135;2019-06-13;;;2373;2395A;WISSEL;WISSEL
161676081;534_1009BL_44.8;w1009Bl-w1011Ar;S;0,029;0,076;2019-06-13;;;1009B;1011A;WISSEL;WISSEL
161676082;624_189BV_32.4;w189Bv-w201r;S;0,000;0,069;2019-06-13;;;189B;201;WISSEL;WISSEL
161676083;005_55R_109.5;s512-w65l;S;0,486;0,543;2019-06-13;;;64;65;BED_SEIN;WISSEL
161676084;005_55R_109.5;w55r-s512;S;0,039;0,136;2019-06-13;;;55;56;WISSEL;BED_SEIN
161676086;116_1363L_32.8;s69-w3213r;S;1,026;1,089;2019-06-13;;;3208;3213;BED_SEIN;WISSEL
161676087;116_1363L_32.8;w1363l-s69;S;0,047;0,310;2019-06-13;;;1363;1384;WISSEL;BED_SEIN
161676089;924_3287R_34.3;w3287r-w3289v;S;0,028;0,042;2019-06-13;;;3287;3289;WISSEL;WISSEL
161676090;071_29R_27.9;w29r-s803;S;0,038;0,473;2019-06-13;;;29;22;WISSEL;BED_SEIN
161683333;055_319BV_11.8;w319Bv-sHE;S;0,000;0,523;2019-06-13;;;319B;320;WISSEL;BED_SEIN
161683334;097_3611L_21.7;w3611l-w3613l;S;0,033;0,056;2019-06-13;;;3611;3613;WISSEL;WISSEL
161683335;118_13R_84.5;s841-w25l;S;0,876;0,935;2019-06-13;;;24;25;BED_SEIN;WISSEL
161683336;118_13R_84.5;w13r-s841;S;0,048;0,142;2019-06-13;;;13;14;WISSEL;BED_SEIN
161683337;586_111AV_80.5;w111Av-w2561A/2545Bv;S;0,000;0,104;2019-06-13;;;111A;2561A/2545B;WISSEL;WISSEL
161676527;021_37AL_67.0;s701-w57Br;S;1,047;1,369;2019-06-13;;;50;57B;BED_SEIN;WISSEL
161676528;021_37AL_67.0;w37Al-s701;S;0,048;0,273;2019-06-13;;;37A;44;WISSEL;BED_SEIN
161676530;924_06-07R_35.3;s107-w3313l;S;0,852;0,937;2019-06-13;;;;3313;STOP_BD;WISSEL
161676531;531_2561V_34.6;w2561v-w2583/2581v;S;0,000;0,016;2019-06-13;;;2561;2583/2581;WISSEL;WISSEL
