ID;SPOORTAK_IDENTIFICATIE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;GEOCODE;GEOCODE_KM_VAN;GEOCODE_KM_TOT;RICHTING_VOLGENS_GEOCODEKM
1282064;052_1L_48.1;0;1,114;052__;48,118;49,231;MEE
1282065;124_904R_3.5;0;0,041;124_a;3,459;3,419;TEGEN
1282066;124_904L_3.5;0;0,034;124_a;3,459;3,425;TEGEN
1282067;124_903V_3.5;0;0,007;124_a;3,466;3,459;TEGEN
1282068;506_51R_43.4;0;0,51;506_b;43,411;43,868;MEE
1282069;817_52AR_300.8;0;0,739;817_g;300,789;301,527;MEE
1282070;586_2519AR_80.2;0;0,077;586__;80,219;80,296;MEE
1282071;586_2519BL_80.3;0;0,203;586__;80,296;80,092;TEGEN
1282072;586_111AV_80.5;0;0,12;586__;80,521;80,402;TEGEN
1282073;586_111AR_80.5;0;0,071;586__;80,521;80,591;MEE
1282074;586_2545BpV_80.4;0;0,034;586__;80,418;80,385;TEGEN
1282075;586_2545BqV_80.4;0;0,034;586__;80,418;80,385;TEGEN
1282076;099_1021AV_6.1;5,656;5,964;529__;23,391;23,087;TEGEN
1282077;506_127AR_44.0;0;0,061;506_b;43,997;44,059;MEE
1282078;080_3403V_9.8;0;1,33;080__;9,824;11,151;MEE
1282079;950_105AL_6.8;0;0,838;950_a;6,808;7,646;MEE
1282080;011_68AR_69.0;0;0,763;011__;69,024;69,786;MEE
1282081;501_145AL_80.7;0;0,056;501__;80,723;80,778;MEE
1286301;031_1R_3.3;0;0,92;031_a;3,319;2,4;TEGEN
1286302;031_1R_3.3;0,92;1,107;609__;29,855;29,669;TEGEN
1286303;490_141R_5.1;0;0,038;490_b;5,062;5,1;MEE
1286304;518_147R_64.2;0;0,401;518__;64,245;64,645;MEE
1286305;922_929R_18.1;0;0,285;922__;18,121;18,402;MEE
1286306;206_103V_12.7;0;5,067;206__;12,668;17,732;MEE
1286307;076_81V_11.5;0;0,103;076__;11,459;11,56;MEE
1286308;135_2023L_40.3;0;0,12;135__;40,272;40,392;MEE
1286309;135_2023R_40.3;0;0,144;135__;40,272;40,417;MEE
1286310;564_952L_23.6;0;0,052;564_b;23,571;23,623;MEE
1286311;612_9R_60.6;0,585;2,887;211__;12,3;14,599;MEE
1286312;922_915L_18.0;0;0,041;922__;18,021;18,061;MEE
1286313;166_2153L_135.6;0;0,247;166__;135,557;135,804;MEE
1286314;518_131R_63.6;0;0,634;518__;63,614;64,245;MEE
1286315;518_147L_64.2;0;0,064;518__;64,245;64,308;MEE
1286316;506_552V_43.5;0;0,017;506_b;43,469;43,485;MEE
1282082;924_3263BL_34.3;0;0,194;924_a;34,29;34,107;TEGEN
1282083;514_918V_17.9;0;0,001;514_a;17,888;17,888;MEE
1282084;514_915R_18.0;0;0,052;514_a;17,934;17,888;TEGEN
1282085;603_69AR_2.4;0;0,094;603_a;2,36;2,455;MEE
1282086;603_79AL_2.4;0;0,23;603_a;2,425;2,656;MEE
1282087;603_67R_2.4;0;0,038;603_a;2,389;2,425;MEE
1282088;470_251V_100.5;0;0,393;470_a;100,495;100,1;TEGEN
1282089;470_251V_100.5;0,393;0,642;950_a;15,502;15,751;MEE
