SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
520_129AR_0.6;;;;;;;;;;;;;;
624_255L_32.7;;;;;;;;;;;;;;
514_145BV_16.5;;;;;;;;;;;;;;
514_908pV_18.0;;;;;;;;;;;;;;
503_181BpV_42.1;;;;;;;;;;;;;;
076_1659R_12.3;;;;;;;;;;;;;;
011_39BL_68.8;;;;;;;;;;;;;;
553_219BR_21.3;;;;;;;;;;;;;;
924_3591AR_35.8;;;;;;;;;;;;;;
514_941pV_18.1;;;;;;;;;;;;;;
523_5051AV_177.6;;;;;;;;;;;;;;
536_247AR_60.8;;;;;;;;;;;;;;
545_961L_22.6;;;;;;;;;;;;;;
817_73R_205.2;;;;;;;;;;;;;;
501_932AR_80.4;;;;;;;;;;;;;;
553_215BpV_21.2;;;;;;;;;;;;;;
043_353AL_33.2;;;;;;;;;;;;;;
617_1107L_38.8;;;;;;;;;;;;;;
619_1273AR_35.5;;;;;;;;;;;;;;
560_67AR_24.8;;;;;;;;;;;;;;
132_951V_49.1;;;;;;;;;;;;;;
586_2527AL_80.2;;;;;;;;;;;;;;
544_1073L_0.1;;;;;;;;;;;;;;
542_1263AL_29.9;;;;;;;;;;;;;;
924_3781AL_37.0;;;;;;;;;;;;;;
055_347L_8.4;;;;;;;;;;;;;;
127_391AR_48.5;;;;;;;;;;;;;;
486_954L_75.1;;;;;;;;;;;;;;
517_205V_0.2;;;;;;;;;;;;;;
938_4543R_1.3;;;;;;;;;;;;;;
555_201V_83.3;;;;;;;;;;;;;;
950_962qV_12.6;;;;;;;;;;;;;;
608_37AL_88.0;;;;;;;;;;;;;;
028_1015L_53.0;;;;;;;;;;;;;;
817_75V_206.6;;;;;;;;;;;;;;
485_14L_76.9;;;;;;;;;;;;;;
469_336BL_601.9;;;;;;;;;;;;;;
938_4601L_2.6;;;;;;;;;;;;;;
501_147R_80.7;;;;;;;;;;;;;;
924_991R_34.3;;;;;;;;;;;;;;
586_2515BpV_80.3;;;;;;;;;;;;;;
603_3079V_2.5;;;;;;;;;;;;;;
857_21L_100.0;;;;;;;;;;;;;;
