ID;SPOORTAK_IDENTIFICATIE;DOORSNIJDINGSYSTEEM;SOORT_OBJECT;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
1;017_353BV_32.1;Overweg;Overweg;0,997;1,007;03-06-2021
2;209_1V_6.9;Overweg;Overweg;5,421;5,433;03-06-2021
3;817_60R_204.8;Overweg;Overweg;1,434;1,439;03-06-2021
4;135_919V_46.3;Overweg;Overweg;0,144;0,149;03-06-2021
5;541_71BV_0.1;Overweg;Overweg;1,548;1,554;03-06-2021
6;087_115L_16.4;Overweg;Overweg;1,725;1,726;03-06-2021
7;135_916AR_45.8;Overweg;Overweg;0,048;0,048;03-06-2021
8;087_119AL_16.6;Overweg;Overweg;5,604;5,622;03-06-2021
9;087_119BV_16.7;Overweg;Overweg;5,499;5,517;03-06-2021
10;135_917AR_45.8;Overweg;Overweg;0,049;0,049;03-06-2021
11;087_119AL_16.6;Overweg;Overweg;4,402;4,42;03-06-2021
12;528_61AR_0.5;Overweg;Overweg;0,312;0,327;03-06-2021
13;528_3AR_27.9;Overweg;Overweg;0,084;0,099;03-06-2021
14;541_101R_15.8;Overweg;Overweg;0,276;0,285;03-06-2021
15;608_67L_88.9;Overweg;Overweg;5,597;5,602;03-06-2021
16;135_917AR_45.8;Overweg;Overweg;0,382;0,386;03-06-2021
17;128_65BV_13.4;Overweg;Overweg;1,815;1,82;03-06-2021
18;087_115L_16.4;Overweg;Overweg;1,714;1,717;03-06-2021
19;506_27V_43.1;Overweg;Overweg;1,164;1,176;03-06-2021
20;135_916AL_45.8;Overweg;Overweg;0,048;0,048;03-06-2021
21;135_916AR_45.8;Overweg;Overweg;0,382;0,383;03-06-2021
22;135_916AL_45.8;Overweg;Overweg;0,382;0,383;03-06-2021
23;109_243AL_31.0;Overweg;Overweg;4,11;4,118;03-06-2021
24;305_1DV_2.8;Overweg;Overweg;1,149;1,156;03-06-2021
25;817_35L_117.6;Overweg;Overweg;0,68;0,684;03-06-2021
26;057_45R_11.4;Overweg;Overweg;0,069;0,091;03-06-2021
27;031_215V_10.4;Overweg;Overweg;0,015;0,027;03-06-2021
28;109_233BV_32.2;Overweg;Overweg;1,055;1,06;03-06-2021
29;620_97AR_42.6;Overweg;Overweg;4,312;4,333;03-06-2021
30;004_3L_101.7;Overweg;Overweg;10,722;10,727;03-06-2021
31;551_161AR_23.6;Overweg;Overweg;3,697;3,707;03-06-2021
32;817_931L_114.6;Overweg;Overweg;0,072;0,095;03-06-2021
33;550_157V_26.7;Overweg;Overweg;1,407;1,428;03-06-2021
34;127_395AR_48.6;Overweg;Overweg;0,028;0,041;03-06-2021
35;127_395AL_48.6;Overweg;Overweg;0,027;0,039;03-06-2021
36;127_395BR_48.7;Overweg;Overweg;0,031;0,044;03-06-2021
37;602_215R_77.1;Overweg;Overweg;5,743;5,749;03-06-2021
38;066_1BR_25.8;Overweg;Overweg;0,251;0,271;03-06-2021
39;817_1V_120.8;Overweg;Overweg;0,285;0,291;03-06-2021
40;090_13BV_19.2;Overweg;Overweg;0,392;0,395;03-06-2021
41;090_13AR_19.2;Overweg;Overweg;0,451;0,455;03-06-2021
42;620_97AR_42.6;Overweg;Overweg;1,249;1,261;03-06-2021
43;127_419AL_49.6;Overweg;Overweg;2,795;2,802;03-06-2021
44;127_375BV_38.5;Overweg;Overweg;9,369;9,396;03-06-2021
45;817_905V_115.3;Overweg;Overweg;0,313;0,323;03-06-2021
46;817_60R_204.8;Overweg;Overweg;1,447;1,46;03-06-2021
47;626_39V_32.7;Overweg;Overweg;1,936;1,942;03-06-2021
48;817_50R_300.0;Overweg;Overweg;0,263;0,286;03-06-2021
49;084_5V_9.4;Overweg;Overweg;0,007;0,028;03-06-2021
50;817_51R_300.5;Overweg;Overweg;0,094;0,122;03-06-2021
51;817_35L_117.6;Overweg;Overweg;1,777;1,787;03-06-2021
52;127_445AV_67.7;Overweg;Overweg;3,742;3,76;03-06-2021
53;004_1V_101.6;Overweg;Overweg;4,294;4,307;03-06-2021
54;003_2339L_84.6;Overweg;Overweg;0,061;0,068;03-06-2021
55;548_371R_86.4;Overweg;Overweg;2,483;2,491;03-06-2021
56;550_157V_26.7;Overweg;Overweg;1,256;1,298;03-06-2021
57;817_40L_119.3;Overweg;Overweg;0,409;0,428;03-06-2021
58;209_1V_6.9;Overweg;Overweg;5,804;5,818;03-06-2021
59;602_219R_77.2;Overweg;Overweg;1,801;1,807;03-06-2021
60;862_28V_100.5;Overweg;Overweg;0,441;0,456;03-06-2021
61;203_407V_55.8;Overweg;Overweg;1,867;1,871;03-06-2021
62;203_407V_55.8;Overweg;Overweg;9,719;9,728;03-06-2021
63;203_345V_34.6;Overweg;Overweg;2,768;2,78;03-06-2021
64;209_1V_11.2;Overweg;Overweg;3,174;3,185;03-06-2021
65;451_8V_1.2;Overweg;Overweg;0,255;0,259;03-06-2021
66;204_301V_12.6;Overweg;Overweg;5,921;5,927;03-06-2021
67;203_443V_66.8;Overweg;Overweg;6,374;6,392;03-06-2021
68;451_8V_1.2;Overweg;Overweg;0,372;0,379;03-06-2021
