SPOORTAK_IDENTIFICATIE;RICHTING;SPOORTAK_ASL;PERCENT_ASL;RICHTING_ASL
553_219BqV_21.3;0-100;553_219BR_21.3;10,525784;0-100
517_35BqV_69.1;100-0;517_41AL_69.0;31,611256;0-100
517_35BqV_69.1;0-100;517_35BR_69.1;0,539721;0-100
517_155BpV_69.9;100-0;517_157AR_69.9;7,366798;0-100
517_155BpV_69.9;0-100;517_155AL_69.9;68,275251;100-0
950_921AqV_17.3;100-0;950_921BR_17.4;56,094141;0-100
950_921AqV_17.3;0-100;950_921AL_17.3;16,232121;0-100
950_610AqV_6.4;100-0;950_610BR_6.5;6,327768;0-100
950_610AqV_6.4;0-100;950_610AL_6.4;68,12932;0-100
950_101qV_6.8;100-0;950_105AL_6.8;1,88793;0-100
950_101qV_6.8;0-100;950_101R_6.8;27,849051;0-100
542_1229BqV_29.8;100-0;542_1243AL_29.8;9,752382;0-100
531_2715pV_35.6;0-100;531_2621V_34.7;98,102674;100-0
531_2715qV_35.6;100-0;531_2717L_35.5;96,012851;0-100
803_84AqV_103.8;100-0;803_81V_103.5;93,242672;100-0
803_84AqV_103.8;0-100;803_70BR_80.3;93,869059;100-0
608_25pV_87.7;100-0;608_27AR_87.7;34,274114;0-100
608_25pV_87.7;0-100;021_13L_86.6;98,577686;100-0
608_25qV_87.7;100-0;608_27AL_87.7;1,870971;0-100
608_25qV_87.7;0-100;608_25R_87.7;5,248281;0-100
927_3083AqV_905.7;0-100;927_936R_906.0;94,532945;100-0
009_25BpV_165.9;100-0;009_27R_165.8;7,275171;0-100
009_25BpV_165.9;0-100;009_25AL_165.8;64,106153;100-0
620_71BqV_42.3;0-100;620_71AR_42.2;64,912822;100-0
550_957ApV_25.2;100-0;550_955V_25.1;81,414896;100-0
550_957ApV_25.2;0-100;550_45R_25.3;88,499504;100-0
950_237pV_12.6;100-0;950_239R_12.6;22,476894;0-100
950_237pV_12.6;0-100;950_235BV_12.6;42,629498;100-0
011_37AqV_68.7;0-100;011_35V_68.7;5,318616;100-0
011_37ApV_68.7;100-0;011_37BR_68.7;94,883962;0-100
011_37ApV_68.7;0-100;011_36V_68.7;14,534175;100-0
011_39AqV_68.8;100-0;011_39BL_68.8;13,269842;0-100
011_39AqV_68.8;0-100;011_38R_68.7;81,749478;100-0
011_39ApV_68.8;100-0;011_39BR_68.8;13,739033;0-100
011_39ApV_68.8;0-100;011_13R_67.9;98,110672;100-0
606_55BqV_0.2;100-0;606_904L_0.1;55,973869;0-100
606_55BqV_0.2;0-100;606_51BV_0.1;71,95474;100-0
531_1467pV_1.1;100-0;531_1471L_1.2;10,237205;0-100
504_49pV_18.2;0-100;504_25R_17.4;97,761606;100-0
545_217BpV_23.7;100-0;545_221BR_23.8;77,399838;100-0
545_93BqV_22.5;100-0;545_95L_22.4;57,154538;0-100
545_93BqV_22.5;0-100;545_93BR_22.5;7,048172;0-100
