VERKANTING_ID;VERK_LRS_VAN;VERK_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DATUM_PUBLICATIE;DATUM_GOEDGEKEURD;ELEMENTTYPE;VERKANTING_VAN;VERKANTING_TOT;OVERGANGSHELLING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
950#RK#16.833999;0;779769;eb31330b-5861-532f-4ea3-299beb2c5fb4;4500;784269;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#RK#16.426952;0;33000;eb31330b-5861-532f-4ea3-299beb2c5fb4;784269;817269;20211029;20181220;Helling;0;-20;-0.60606061;20211201;C;18
950#RK#16.340733;0;139159;eb31330b-5861-532f-4ea3-299beb2c5fb4;817269;956428;20211029;20181220;Constant;-20;-20;0.0;20211201;C;18
950#RK#16.251007;0;40000;eb31330b-5861-532f-4ea3-299beb2c5fb4;956428;996428;20211029;20181220;Helling;-20;0;0.49999987;20211201;C;18
950#RK#16.026680;0;407925;eb31330b-5861-532f-4ea3-299beb2c5fb4;996428;1404353;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#RK#15.807361;0;30000;eb31330b-5861-532f-4ea3-299beb2c5fb4;1404353;1434353;20211029;20160314;Helling;0;-30;-1.0;20211201;C;18
950#RK#15.474986;0;633670;eb31330b-5861-532f-4ea3-299beb2c5fb4;1434353;2068023;20211029;20160314;Constant;-30;-30;0.0;20211201;C;18
950#RK#15.127586;0;60000;eb31330b-5861-532f-4ea3-299beb2c5fb4;2068023;2128023;20211029;20160314;Helling;-30;30;1.0;20211201;C;18
950#RK#14.921357;0;351787;eb31330b-5861-532f-4ea3-299beb2c5fb4;2128023;2479810;20211029;20160314;Constant;30;30;0.0;20211201;C;18
950#RK#14.729151;0;32000;eb31330b-5861-532f-4ea3-299beb2c5fb4;2479810;2511810;20211029;20160314;Helling;30;0;-0.9375;20211201;C;18
950#RK#14.346886;0;731287;eb31330b-5861-532f-4ea3-299beb2c5fb4;2511810;3243097;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#RK#13.964622;0;31999;eb31330b-5861-532f-4ea3-299beb2c5fb4;3243097;3275096;20211029;20160314;Helling;0;30;0.9375;20211201;C;18
950#RK#13.666990;0;562297;eb31330b-5861-532f-4ea3-299beb2c5fb4;3275096;3837393;20211029;20160314;Constant;30;30;0.0;20211201;C;18
950#RK#13.370359;0;30000;eb31330b-5861-532f-4ea3-299beb2c5fb4;3837393;3867393;20211029;20160314;Helling;30;0;-1.0;20211201;C;18
950#w863L-w221V#13.243852;0;222602;eb31330b-5861-532f-4ea3-299beb2c5fb4;3867393;4089995;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#w863L-w221V#13.132308;0;125;eb31330b-5861-532f-4ea3-299beb2c5fb4;4089995;4090120;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#PK#16.815784;0;797582;702af418-7932-b174-6773-0c8f1e8aa56f;4499;802081;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#PK#16.400577;0;32006;702af418-7932-b174-6773-0c8f1e8aa56f;802081;834087;20211029;20160314;Helling;0;-30;-0.9375;20211201;C;18
950#PK#16.324474;0;120048;702af418-7932-b174-6773-0c8f1e8aa56f;834087;954135;20211029;20160314;Constant;-30;-30;0.0;20211201;C;18
950#PK#16.248371;0;32006;702af418-7932-b174-6773-0c8f1e8aa56f;954135;986141;20211029;20160314;Helling;-30;0;0.9375;20211201;C;18
950#PK#16.166854;0;130866;702af418-7932-b174-6773-0c8f1e8aa56f;986141;1117007;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#PK#16.085336;0;32007;702af418-7932-b174-6773-0c8f1e8aa56f;1117007;1149014;20211029;20160314;Helling;0;30;0.9375;20211201;C;18
950#PK#15.973733;0;190976;702af418-7932-b174-6773-0c8f1e8aa56f;1149014;1339990;20211029;20160314;Constant;30;30;0.0;20211201;C;18
950#PK#15.846112;0;64013;702af418-7932-b174-6773-0c8f1e8aa56f;1339990;1404003;20211029;20160314;Helling;30;-30;-0.9375;20211201;C;18
950#PK#15.486788;0;653919;702af418-7932-b174-6773-0c8f1e8aa56f;1404003;2057922;20211029;20160314;Constant;-30;-30;0.0;20211201;C;18
950#PK#15.127464;0;64013;702af418-7932-b174-6773-0c8f1e8aa56f;2057922;2121935;20211029;20160314;Helling;-30;30;0.9375;20211201;C;18
950#PK#14.922687;0;345133;702af418-7932-b174-6773-0c8f1e8aa56f;2121935;2467068;20211029;20160314;Constant;30;30;0.0;20211201;C;18
950#PK#14.733929;0;32007;702af418-7932-b174-6773-0c8f1e8aa56f;2467068;2499075;20211029;20160314;Helling;30;0;-0.9375;20211201;C;18
950#PK#14.338866;0;757331;702af418-7932-b174-6773-0c8f1e8aa56f;2499075;3256406;20211029;20160314;Constant;0;0;0.0;20211201;C;18
950#PK#13.943804;0;32007;702af418-7932-b174-6773-0c8f1e8aa56f;3256406;3288413;20211029;20190907;Helling;0;30;0.9375;20211201;C;18
950#PK#13.702211;0;450697;702af418-7932-b174-6773-0c8f1e8aa56f;3288413;3739110;20211029;20190907;Constant;30;30;0.0;20211201;C;18
950#PK#13.441596;0;70014;702af418-7932-b174-6773-0c8f1e8aa56f;3739110;3809124;20211029;20190907;Helling;30;0;-0.42857143;20211201;C;18
950#PK#13.278746;0;255360;702af418-7932-b174-6773-0c8f1e8aa56f;3809124;4064484;20211029;20190907;Constant;0;0;0.0;20211201;C;18
950#w865R-w223AV#13.150870;0;138;702af418-7932-b174-6773-0c8f1e8aa56f;4064484;4064622;20211029;20190907;Constant;0;0;0.0;20211201;C;18
950#w3051L-w479AV#7.940316;0;178738;b5654cf5-097f-baf2-f98d-695b4935ab72;4500;183238;20211029;20160303;Constant;0;0;0.0;20211201;C;18
