PUIC;REF_OBJECT_BEGIN_NAAM;REF_OBJECT_BEGIN_PUIC;KANTCODE_SPOORTAK_BEGIN;REF_OBJECT_EIND_NAAM;REF_OBJECT_EIND_PUIC;KANTCODE_SPOORTAK_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
000c2447-66d7-410b-a30e-cd481fccef31;307A;3225f486-b8c7-4216-ba0b-513ca46faf6d;R;307B;5e768367-f10d-44b0-9cd5-bb12c650fb99;R;0;57214;57214;20211201;C;18
00187558-4fc4-4434-be58-27b4f291f401;133/141A;e763e72d-5701-4496-adc5-538f40afacca;T;141B;72237ea9-e7ee-45fa-a2f8-41095c69f733;L;0;56128;56128;20211201;C;18
00245c44-a43a-40d2-a42b-b3670a08e8e4;77/79A;e0388ad6-b216-4c29-b264-787993b897a8;T;79B/81A;bb211510-9b58-45aa-98ad-802949e41d9a;Q;0;40760;40760;20211201;C;18
00368fe4-fab4-46db-95ed-1f6d0f88a5e6;82;bd909eaa-13a9-4b31-b835-bdd953147bc2;R;305;6cde3b92-901e-4925-a7ed-df087bd29587;R;0;786583;786583;20211201;C;18
003ba25a-e371-42a3-a0ff-e7b44b218054;1;4b1b90d7-1a50-462f-b604-97f366a03e2b;R;2;074dbb4d-dcd7-4fcf-bb57-04dd61d52877;L;0;363906;363906;20211201;C;18
003d0242-601c-4e8a-81c8-74f404d10827;53A;c7cf0da1-ac02-4f94-8fe8-d57ad97102e1;V;W2011;b8e83774-024e-47ae-b9f9-cf461fe93427;V;0;649376;649376;20211201;C;18
005111e6-fe87-4eca-bbc4-9f26844e02f0;219;3913e0cb-885a-4b74-88f6-cf6685ba5aba;V;221;c3fe548d-80f3-4b8c-b7f3-00470be0b56d;L;0;43907;43907;20211201;C;18
0052d55f-bfad-4343-b361-609ebf6e79b1;17;fb272ec9-f91c-43c5-8ec5-f479599beb58;V;21;a23ed41f-8d83-4a5a-8ee3-3237e3a36edf;R;0;374185;374185;20211201;C;18
005bfdd8-8ba3-4b62-8199-d230a8daceb6;51A/51B;f019e767-ab5d-4eed-aba9-46b467137114;S;K51;4b1ca1f7-a8ad-4ed3-8fbf-5f5d4f557913;P;0;18554;18554;20211201;C;18
0060e972-c2bf-4e39-b1d0-91914e2f12fd;86;287a3b20-3f60-40ff-b5de-bad7d2528a6f;V;87;3e85005b-8cee-40e0-b708-2bb9767b1561;R;0;320657;320657;20211201;C;18
