SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DOORSNIJDINGSYSTEEM;SOORT_OBJECT;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
000221b0-6d28-0b36-b44a-cf513cf6dfc9;59998;62708;Overweg;Overweg;20211201;C;18
00142ced-ac9a-41e9-97a3-365058d819bdb001fd86-34d0-406a-b168-864da32c0d93;-4500;-2285;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
00142ced-ac9a-41e9-97a3-365058d819bdb001fd86-34d0-406a-b168-864da32c0d93;-4500;-2617;Overweg;Overweg;20211201;C;18
00142ced-ac9a-41e9-97a3-365058d819bde209b1c3-7077-4d7a-9199-fb16e278df4f;-4500;-2285;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
00142ced-ac9a-41e9-97a3-365058d819bde209b1c3-7077-4d7a-9199-fb16e278df4f;-4500;-2617;Overweg;Overweg;20211201;C;18
002428a1-f4d2-2620-439c-5a0675b92fff;141787;179053;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
002428a1-f4d2-2620-439c-5a0675b92fff;242191;603777;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
002428a1-f4d2-2620-439c-5a0675b92fff;58127;74532;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
003f6e53-7ccb-2670-5521-32126a9d4080;65416;67967;Overweg;Overweg;20211201;C;18
0059bf8b-d17e-45ec-bd00-15ca656c98c2;68228;89258;Overweg;Overweg;20211201;C;18
005bc6c1-9322-2b98-ed66-df38a4441091;1334707;1308173;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
005bc6c1-9322-2b98-ed66-df38a4441091;2095088;1840054;Spoordragend kunstwerk;Stalen spoorbrug;20211201;C;18
005bc6c1-9322-2b98-ed66-df38a4441091;2326837;2306861;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
005bc6c1-9322-2b98-ed66-df38a4441091;4276477;4260720;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
005d7eeb-9eba-172b-2d92-774900b4cd41;62304;77044;Spoordragend kunstwerk;Stalen spoorbrug;20211201;C;18
0061722e-1e25-8e46-45a1-8035adcb0aa8;267414;257856;Overweg;Overweg;20211201;C;18
0061722e-1e25-8e46-45a1-8035adcb0aa8;707920;702586;Overweg;Overweg;20211201;C;18
0061722e-1e25-8e46-45a1-8035adcb0aa8;831112;749940;Spoordragend kunstwerk;Stalen spoorbrug;20211201;C;18
006bc2cc-d08a-4397-8f97-a8b9a7530829;613009;613609;Overweg;Overweg;20211201;C;18
0070da06-4316-4663-be23-3153798d1f7827b2b1aa-e1ac-48c2-a9c5-ccd177e9443b;-16015;-14133;Overweg;Overweg;20211201;C;18
0070da06-4316-4663-be23-3153798d1f789f9a0cf5-d972-40bc-b432-79ad874531cb;-16015;-14133;Overweg;Overweg;20211201;C;18
008ea65c-3caa-2b20-8e8c-7dcceb58e683;53681;54582;Overweg;Overweg;20211201;C;18
00c00643-0192-2710-b076-84327a7c984f;2330087;2332901;Spoortunnel;Tunnelconstructie;20211201;C;18
00c80e40-fee4-8f09-daba-0806137af81f;3667098;3505835;Spoortunnel;Tunnelconstructie;20211201;C;18
00d9a647-7b69-f3e8-999b-bc9422d46535;46300;63311;Spoordragend kunstwerk;Stalen spoorbrug;20211201;C;18
00d9a647-7b69-f3e8-999b-bc9422d46535;66947;183683;Spoordragend kunstwerk;Stalen spoorbrug;20211201;C;18
00eb81f8-c222-7bba-a65d-462d9d851de4;51678;62028;Overweg;Overweg;20211201;C;18
00eb81f8-c222-7bba-a65d-462d9d851de4;84019;117850;Overweg;Overweg;20211201;C;18
00eb81f8-c222-7bba-a65d-462d9d851de4;842174;875986;Overweg;Overweg;20211201;C;18
00eb81f8-c222-7bba-a65d-462d9d851de4;898045;908433;Overweg;Overweg;20211201;C;18
00efe06e-10b2-7082-4472-dc75f2322af6;62117;86279;Overweg;Overweg;20211201;C;18
00fb2cec-6ba3-e75b-f7da-6dec34b74975;89290;98720;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
0103cb7c-c366-47b0-9c91-9200b1034d4046eef324-d727-49b3-8e8f-d9fbff2e6a91;59855;95431;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
0103cb7c-c366-47b0-9c91-9200b1034d40514ea491-2b4b-44e5-8f19-06f81879c7b9;59855;95478;Spoordragend kunstwerk;Betonnen spoorviaduct;20211201;C;18
012227ec-8694-4540-bd76-93b284ccbbff0d4ef827-5a12-418c-83fb-6cae92723994;-1609;-912;Overweg;Overweg;20211201;C;18
012227ec-8694-4540-bd76-93b284ccbbff771b75a5-8850-4228-98a3-e2f2b7fede83;-1609;-912;Overweg;Overweg;20211201;C;18
