PUIC;GEOCODE;GEOSUBCODE;KM_GEOCODE;X;Y;OBJECTTYPE;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
000df2f8-9149-4e57-bb7b-fa42c38b7524;050;050__;4.286424;124396.451;485582.448;Wissel;20211201;C;18
000f3f6d-bc29-40c8-acd7-fd6367766992;831;831_b;201.022826;165877.328;421944.177;Wissel;20211201;C;18
00126b3f-12ab-431f-acf0-2ffc8233a964;486;486_c;204.753937;115356.038;491149.932;Wissel;20211201;C;18
001d7335-3721-4bc3-be1d-0d98e63d5cf5;950;950_a;7.185207;89742.863;431873.326;Wissel;20211201;C;18
002d067f-1fcb-434e-9814-1f7c4a86cf5f;506;506_b;43.561651;153073.845;463062.103;Wissel;20211201;C;18
00364f2e-c8eb-4387-ba01-de29d4c10b96;540;540_d;81.189364;89204.781;437453.41;Wissel;20211201;C;18
005dae2d-f48b-4d8f-b928-44dbd3ac85e9;543;543_c;45.385711;251292.892;475743.259;Wissel;20211201;C;18
005e7656-76c4-4a2f-bf47-e17da11acba5;478;478_a;0.387944;61953.65;438784.388;Wissel;20211201;C;18
0073560c-c08f-4bab-8ac3-f1db65f7b7eb;504;504_b;18.258646;196161.449;322554.425;Wissel;20211201;C;18
00781ea6-3fa4-4f26-afc2-02f1ed384d99;087;087__;24.160253;139774.16;474977.178;Wissel;20211201;C;18
008c07db-4e7c-4021-8dfc-d34696c18c83;470;470_a;101.10734;81597.259;432824.775;Wissel;20211201;C;18
009fb815-c260-47db-bceb-afeda3ece6d1;545;545_b;22.782942;90684.679;395211.6;Wissel;20211201;C;18
00aa35d2-d32d-42ea-951e-893b44178839;603;603_a;3.000779;202946.92;502030.29;Wissel;20211201;C;18
00c8e90c-1810-41af-85d2-514aa180b905;519;519_a;46.419517;197469.977;356190.039;Wissel;20211201;C;18
00d15a97-0d6c-47ac-9615-ca8c2e738271;098;098__;29.090898;131779.271;459948.913;Wissel;20211201;C;18
00d8d7e0-a1aa-4af0-94e6-2d4493e25985;610;610__;13.960169;203857.507;450673.585;Wissel;20211201;C;18
00d9e53f-56c7-486e-9fba-5837779a3e7b;076;076__;11.501369;105243.379;499090.115;Wissel;20211201;C;18
00e4c595-c191-4950-a63f-e0c3ed716ffb;127;127_a;49.747291;50502.144;390997.49;Wissel;20211201;C;18
00ea4a98-d2cc-4625-89ee-97493ec6cbcf;046;046__;36.077186;146645.013;422687.141;Wissel;20211201;C;18
00eb2f68-54b9-4f9d-8cbb-f05bc2363804;588;588__;1.611891;123409.402;487613.046;Wissel;20211201;C;18
00f45101-d472-4635-9c89-ea32f9d9229f;035;035__;48.109483;147862.326;453025.303;Wissel;20211201;C;18
00fc2416-3ab6-4f69-9dfb-8b740171d93d;081;081__;74.46796;116824.499;491714.498;Wissel;20211201;C;18
00fcb6a4-8f22-42c3-a745-dd9002119868;950;950_a;6.945493;89970.724;431778.699;Wissel;20211201;C;18
0108907b-c691-4e4e-9ab9-d9f10b39b884;555;555__;83.410954;91369.288;437659.176;Wissel;20211201;C;18
010b04a6-7bc2-40ed-abdf-ddb0f77e6092;609;609__;28.538089;210840.119;462928.104;Wissel;20211201;C;18
0116effa-1685-4ec8-953f-63be4f5f3db0;550;550__;25.88244;181721.252;578864.037;Wissel;20211201;C;18
01324321-1fdc-4d3d-8f68-c2e2bd6b2e6a;545;545_b;22.226517;91098.231;395579.53;Wissel;20211201;C;18
014499ec-f779-478c-ba89-cc0cb04086dd;524;524_b;71.47155;116066.171;494403.985;Wissel;20211201;C;18
014800b3-a9a3-42a5-9901-e288d479ec7b;127;127_a;61.693651;38551.501;391803.235;Wissel;20211201;C;18
014b4b0f-da5e-4bb3-be58-fe6dc31e7353;544;544_a;1.081947;113349.234;400922.846;Wissel;20211201;C;18
0161a4f7-0647-454e-b220-47c1098b2ab3;047;047__;42.615064;166289.057;419772.75;Wissel;20211201;C;18
016447be-da6b-4cd4-9f3e-f9a1c50c7ce5;503;503_c;43.635631;207796.785;474690.234;Kruising;20211201;C;18
016647ba-da37-4af7-8322-45be1402b6ae;117;117__;9.818578;140866.437;447281.989;Wissel;20211201;C;18
01729949-fb5e-4c6f-b61d-a18bc1eb23f0;517;517_b;69.08899;210013.572;374680.073;Wissel;20211201;C;18
017af11c-c15a-4c3b-9ed3-9ac753ef47bc;950;950_a;7.265125;89662.473;431874.326;Wissel;20211201;C;18
017b5724-7bf9-4b7f-963f-6c78efc3af1b;506;506_b;43.979977;153456.456;462806.832;Wissel;20211201;C;18
01898d54-0c24-4b74-b344-391b3fab7ced;553;553_c;21.826693;188094.72;334801.836;Kruising;20211201;C;18
01a3ae07-a176-421b-941b-8fd67c561b22;950;950_a;7.568689;89349.875;431820.169;Wissel;20211201;C;18
01bfabf2-46e4-4bb0-b35e-ff7da8168bd1;924;924_a;36.442594;99455.107;428186.477;Kruising;20211201;C;18
01c2de7d-0c35-4bc2-a17b-7bc47ef7b4c5;817;817_e;204.756112;37551.003;389096.516;Wissel;20211201;C;18
01c92be7-c5dd-43ba-87d4-bcfab3c6c8a8;534;534_b;44.649521;93665.791;465379.974;Wissel;20211201;C;18
01e42b03-1ff3-4de9-81e8-34a3ec155712;545;545_b;23.577121;90201.458;394576.081;Wissel;20211201;C;18
01fc1f35-755c-4169-9af6-6fe786bc1d7b;545;545_b;22.928188;90626.52;395064.008;Wissel;20211201;C;18
01fd57c7-be30-4135-b165-a28a76d97e6e;054;054_a;57.348432;160110.049;384278.906;Wissel;20211201;C;18
0203ab27-b7b9-4996-9f1b-b3332a38d724;508;508__;91.051962;189458.344;444372.645;Wissel;20211201;C;18
0205e482-55b8-4ecc-96b2-bb062b18cabc;013;013__;88.476494;211833.343;511768.174;Wissel;20211201;C;18
020693dd-3d97-4574-8016-82461a348877;163;163__;43.335326;95509.567;433716.971;Wissel;20211201;C;18
020df817-6cb8-42bc-b484-9aef4ba6b701;508;508__;90.990554;189409.128;444377.597;Wissel;20211201;C;18
021d4b3a-b761-4940-b124-5d58dcf90464;550;550__;25.045653;180904.793;578681.892;Wissel;20211201;C;18
022729ea-ae69-4668-87bd-89a21584275a;927;927__;905.746443;125590.507;484828.47;Wissel;20211201;C;18
0227f7fc-3185-46ca-88dd-103033751f4f;506;506_b;43.92673;153401.952;462809.124;Kruising;20211201;C;18
022bd15e-74a5-4666-8421-8eb2876c2c83;543;543_c;46.011845;251829.889;475430.86;Wissel;20211201;C;18
022db1ec-1d23-4384-8d3d-a06764af5de6;950;950_a;26.613054;73312.039;436324.274;Wissel;20211201;C;18
0249ff56-fa27-425e-98c0-e799e549aa7b;586;586__;80.541152;121642.428;488125.354;Wissel;20211201;C;18
024a5fbd-8cfc-4911-9720-abf15d609848;505;505_a;23.932474;155936.226;464966.951;Wissel;20211201;C;18
024c4ffd-e184-4899-9b41-944801ccd591;009;009__;137.793355;190576.664;552636.808;Wissel;20211201;C;18
02518ff0-6cc1-48ab-8b67-11e38a977cae;823;823_a;6.320138;116531.347;407979.974;Wissel;20211201;C;18
025299f7-0ca2-4d42-ab3e-b311f426bbb8;950;950_a;39.817704;62352.879;438625.445;Wissel;20211201;C;18
0264d864-157f-4c09-a2c1-5492a0e6485a;506;506_b;43.295988;152804.522;463132.185;Wissel;20211201;C;18
0269b4e8-2aa9-4d2c-a6c4-1e5f813aee3a;486;486_b;74.97855;117148.822;491324.429;Wissel;20211201;C;18
026a4f7c-62cb-459d-a0ae-39c332ff5ce0;470;470_a;101.08861;81597.674;432805.466;Wissel;20211201;C;18
02798fcf-29d1-44ee-866f-e13270cb98e6;506;506_b;44.314156;153786.535;462872.012;Wissel;20211201;C;18
028c8bec-99fb-49c7-918d-1ecfdecd4086;478;478_a;1.679881;61489.792;439969.209;Wissel;20211201;C;18
028ebeec-e003-46b6-be68-3aad497da720;037;037__;92.409305;190795.316;444223.552;Wissel;20211201;C;18
02937eeb-bef7-4474-973d-05087ffcd75f;127;127_a;73.769397;30385.79;385983.504;Wissel;20211201;C;18
029a1b7d-40c1-4005-bc7f-d444111ab3fc;525;525_b;79.231731;120561.404;488876.533;Wissel;20211201;C;18
029a316f-6c79-402f-b5ae-b1ea090b6813;520;520_a;0.476556;177405.483;318052.289;Wissel;20211201;C;18
02aff62f-2475-4e34-9f67-c5ee1155fafb;618;618_b;50.576433;162419.614;383931.619;Wissel;20211201;C;18
02b22ff1-5768-4e18-b8fc-fdf5a649e8cd;924;924_a;34.512167;101057.422;427110.151;Wissel;20211201;C;18
02c331bb-dd2e-4702-9398-e3f44d6f79c7;009;009__;165.843662;181013.978;578660.238;Wissel;20211201;C;18
02d3ba99-0e0a-4ded-bcc2-4ff754bf58af;017;017__;32.139463;162124.393;470277.245;Wissel;20211201;C;18
02dfadef-5639-4dfd-a4d4-9ef23fe1b2a6;152;152_a;6.938158;108350.207;428219.932;Wissel;20211201;C;18
02e50104-6126-4d19-bb0e-d7a90c9d3376;085;085__;31.836215;96867.592;476651.09;Wissel;20211201;C;18
02ed4b09-bef7-497e-b8c1-644aa6e204c2;105;105__;18.349977;119591.959;453265.933;Wissel;20211201;C;18
03030a62-f600-4001-b7cc-544680733667;506;506_b;43.58612;153075.418;463024.109;Wissel;20211201;C;18
03232f60-d231-4f3f-9df3-a613b03769db;625;625_b;14.747106;105065.58;411380.395;Wissel;20211201;C;18
032e442d-abd8-4136-ac04-90f7ff91d85d;564;564_b;23.486496;83558.215;454160.459;Wissel;20211201;C;18
032fd8b4-611a-401d-ab4d-2dccb91e93e1;653;653_a;102.50184;254366.916;575826.327;Wissel;20211201;C;18
0331b89a-9d92-4585-bf20-a8e912ccd774;603;603_a;2.919814;202870.274;502056.551;Wissel;20211201;C;18
03334b7a-de99-4074-8458-c676039cd4bb;534;534_b;44.920136;93497.026;465167.76;Wissel;20211201;C;18
