NAAM_ID;NAAM_LRS_VAN;NAAM_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;OBJECT_NAAM;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
133#w1189L-w2101V#20.254909;0;10641;12299e29-93fb-f13b-ccd0-3412c54f4870;34065;44706;w1189L-w2101V;1189;2101;WISSEL_GW;WISSEL_GW;20220614;C;19
112#611#68.025135;0;238435;a51eae27-fa84-df52-4191-e5ac1551ecd8;3900;242335;611;6123;6132;WISSEL_GW;Lichtsein;20220614;C;19
112#s611-s621#68.276700;0;265826;a51eae27-fa84-df52-4191-e5ac1551ecd8;242335;508161;s611-s621;6132;6148;Lichtsein;Lichtsein;20220614;C;19
112#621#68.861970;0;907344;a51eae27-fa84-df52-4191-e5ac1551ecd8;508161;1415505;621;6148;6178;Lichtsein;Lichtsein;20220614;C;19
112#631#69.500304;0;372191;a51eae27-fa84-df52-4191-e5ac1551ecd8;1415505;1787696;631;6178;6182;Lichtsein;Lichtsein;20220614;C;19
112#s631-s641#69.713432;0;55023;a51eae27-fa84-df52-4191-e5ac1551ecd8;1787696;1842719;s631-s641;6182;6198;Lichtsein;Lichtsein;20220614;C;19
112#641#70.169280;0;858721;a51eae27-fa84-df52-4191-e5ac1551ecd8;1842719;2701440;641;6198;6218;Lichtsein;Lichtsein;20220614;C;19
112#651#70.821534;0;448719;a51eae27-fa84-df52-4191-e5ac1551ecd8;2701440;3150159;651;6218;6224;Lichtsein;Lichtsein;20220614;C;19
112#s651-s661#71.116079;0;141694;a51eae27-fa84-df52-4191-e5ac1551ecd8;3150159;3291853;s651-s661;6224;6236;Lichtsein;Lichtsein;20220614;C;19
112#661#71.446915;0;521465;a51eae27-fa84-df52-4191-e5ac1551ecd8;3291853;3813318;661;6236;6244;Lichtsein;Lichtsein;20220614;C;19
112#s661-s671#71.834558;0;255563;a51eae27-fa84-df52-4191-e5ac1551ecd8;3813318;4068881;s661-s671;6244;6256;Lichtsein;Lichtsein;20220614;C;19
112#671#72.294896;0;667182;a51eae27-fa84-df52-4191-e5ac1551ecd8;4068881;4736063;671;6256;6264;Lichtsein;Lichtsein;20220614;C;19
112#s671-w6263V#72.636453;0;17466;a51eae27-fa84-df52-4191-e5ac1551ecd8;4736063;4753529;s671-w6263V;6264;6263;Lichtsein;WISSEL_GW;20220614;C;19
552#w2137V-s360#82.739589;0;112757;d39a9310-3fb0-b099-b8cb-7b7211427fbf;3899;116656;w2137V-s360;2137;2146;WISSEL_GW;Lichtsein;20220614;C;19
552#360#82.895361;0;198924;d39a9310-3fb0-b099-b8cb-7b7211427fbf;116656;315580;360;2146;2170;Lichtsein;Lichtsein;20220614;C;19
552#s360-w2173L#83.010750;0;31957;d39a9310-3fb0-b099-b8cb-7b7211427fbf;315580;347537;s360-w2173L;2170;2173;Lichtsein;WISSEL_GW;20220614;C;19
664#w875V-sKH#41.952591;0;169228;b265adbb-3985-18c9-cb18-e1d80a691d6a;4500;173728;w875V-sKH;875;880;WISSEL_GW;Lichtsein;20220614;C;19
664#KH#42.318442;0;562668;b265adbb-3985-18c9-cb18-e1d80a691d6a;173728;736396;KH;880;894;Lichtsein;Lichtsein;20220614;C;19
664#sKH-w897AV#42.715661;0;231979;b265adbb-3985-18c9-cb18-e1d80a691d6a;736396;968375;sKH-w897AV;894;897A;Lichtsein;WISSEL_GW;20220614;C;19
950#w917V-w919R#17.254756;0;2100;3dca8ef9-9e84-bd5f-beb4-57d9ac4ff621;4500;6600;w917V-w919R;917;919;WISSEL_GW;WISSEL_GW;20220614;C;19
305#w54V-w55R#17.838083;0;4338;7f060bd5-514e-247f-a718-a6e99a34738f;4500;8838;w54V-w55R;54;55;WISSEL_GW;WISSEL_GW;20220614;C;19
817#s539-w1233L#115.021122;0;18786;b3ff679e-1e15-e87f-fd7f-33ad78c31c46;52851;34065;s539-w1233L;1234;1233;Lichtsein;WISSEL_GW;20220614;C;19
817#539#114.624699;0;775224;b3ff679e-1e15-e87f-fd7f-33ad78c31c46;52851;828075;539;1234;1244;Lichtsein;Lichtsein;20220614;C;19
817#w1243L-s539#114.229607;0;16121;b3ff679e-1e15-e87f-fd7f-33ad78c31c46;844196;828075;w1243L-s539;1243;1244;WISSEL_GW;Lichtsein;20220614;C;19
527#w117L-s127#0.563896;0;69944;19a6ba66-f367-0943-79f8-539a01cc339a;36470;106414;w117L-s127;117;120;WISSEL_GW;Lichtsein;20220614;C;19
527#127#0.849427;0;499367;19a6ba66-f367-0943-79f8-539a01cc339a;106414;605781;127;120;130;Lichtsein;Lichtsein;20220614;C;19
012#w283R-sPA#0.806690;0;13402;5a9dba4f-1257-37e8-a3dd-0cce8dd67709;270614;284016;w283R-sPA;283;292;WISSEL_GW;Lichtsein;20220614;C;19
012#PA#4.428355;0;7241819;5a9dba4f-1257-37e8-a3dd-0cce8dd67709;284016;7525835;PA;292;300;Lichtsein;Lichtsein;20220614;C;19
