NAAM;PUIC;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;GEOCODE_KM_VAN;NR_BEGIN;PUIC_BEGIN;OBJECTTYPE_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;GEOCODE_KM_TOT;NR_EIND;PUIC_EIND;OBJECTTYPE_EIND;KANTCODE_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
1007R;894b4979-7161-425b-bf2b-b8dbb749190c;093;;Blauwkapel - Den Dolder;5.721636;1007;b458740f-e66c-4cb5-8372-fdbb495ff1e9;WISSEL_GW;R;094;;Utrecht Centraal - Blauwkapel;3.468891;1065;67e20434-497d-405e-a75f-d310cddb649c;WISSEL_GW;V;58132;2311134;2253002;20221206;C;20
23V;28db913c-ce01-472d-876e-b7bfda300037;211;;Barneveld Noord - Ede=Wageningen;22.014336;23;081dc011-abc4-4db6-86a1-2aa292d96fe1;WISSEL_GW;V;613;;Ede=Wageningen;75.802835;187;92eca992-8408-4264-b3b4-e9c8152b1392;WISSEL_GW;R;3900;8033976;8030076;20221206;C;20
325AT;0a231d7a-2a16-47df-8599-f5a5003b7b10;012;;Meppel - Assen;20.12809;323/325A;201e760b-cf1f-4298-8875-dd49f8db0276;WISSEL_EW;T;012;;Meppel - Assen;24.122642;341A;17be3ca0-dca2-4b58-bc6b-b5ac71329cbf;WISSEL_GW;V;25990;4030280;4004290;20221206;C;20
375BV;9a2d30a3-cde2-400b-a821-d3f122ce358d;012;;Meppel - Assen;34.166913;375B;708eab63-18d9-4a8f-aec8-c94ca876de4c;WISSEL_GW;V;654;;Assen;48.52932;391;372e8e68-73e8-45bb-a4ad-0c6e44297a05;WISSEL_GW;V;4500;14409964;14405465;20221206;C;20
325BV;123085e2-8f46-4613-aaae-7d08a128ad7e;012;;Meppel - Assen;20.178712;325B;fb4af681-1e90-480b-8982-8fafed8a2ba2;WISSEL_GW;V;012;;Meppel - Assen;24.147296;341B;4e7db029-6440-4601-9b59-2c445d65115e;WISSEL_GW;L;4500;3985110;3980610;20221206;C;20
375AR;2d3f0b8c-3cf4-454a-b180-d35cf993e2f1;012;;Meppel - Assen;34.135503;375A;d97b02ac-3d4c-4959-97b8-fb9bab03bf66;WISSEL_GW;R;654;;Assen;48.578148;393;e9f78437-943b-4c5a-a953-1286b543e0d8;WISSEL_GW;L;34066;14519765;14485699;20221206;C;20
341AL;72af8692-f54d-4174-9fe7-63f4fc1a2871;012;;Meppel - Assen;24.163257;341A;17be3ca0-dca2-4b58-bc6b-b5ac71329cbf;WISSEL_GW;L;012;;Meppel - Assen;33.306357;361A;c88053bc-0e44-4730-81fd-131aa8f19373;WISSEL_GW;V;36470;9199747;9163277;20221206;C;20
343AL;e308c9bf-19f8-4dee-878a-df345a99d232;012;;Meppel - Assen;24.239375;343A;b55547b6-fb37-4cf2-b484-902067bce0bc;WISSEL_GW;L;012;;Meppel - Assen;33.335599;361B;aa901165-0b6b-4e5f-b9c7-8890225767c6;WISSEL_GW;L;36471;9152811;9116341;20221206;C;20
331R;ecdf69b6-e51d-41cd-9741-2962d0c7d676;055;;Blerick - Eindhoven;7.10042;331;d04947b0-014b-4e98-b525-17c5dd1aefc9;WISSEL_GW;R;055;;Blerick - Eindhoven;9.736014;373;ea3249d5-e1e2-4ceb-a01b-76c152ac20a9;WISSEL_GW;L;72990;2711631;2638641;20221206;C;20
373V;6c41be95-45f6-4fd3-bb0e-84ccbb87adf6;055;;Blerick - Eindhoven;9.820815;373;ea3249d5-e1e2-4ceb-a01b-76c152ac20a9;WISSEL_GW;V;055;;Blerick - Eindhoven;19.564575;399A;7962e462-8031-4864-940d-f6812dd2c6a9;WISSEL_GW;V;12100;9766895;9754795;20221206;C;20
371L;685a4c63-1a63-481a-be5c-c2c011f1e3e0;055;;Blerick - Eindhoven;9.762355;371;990c9f62-4081-4c60-be61-e112d3686a91;WISSEL_GW;L;055;;Blerick - Eindhoven;19.609371;399B;fe72b39a-831e-4f79-a82f-515f4370568a;WISSEL_GW;R;72989;9929102;9856112;20221206;C;20
905R;fded6324-e771-4118-a841-3e38c2a714ea;135;;Weesp Aansl. - Lelystad Industrieterrein;45.101322;905;24d27dc4-ba5d-4c77-8458-a4fd25808aca;WISSEL_GW;R;135;;Weesp Aansl. - Lelystad Industrieterrein;45.664221;912;a507ec5d-e32f-48e5-91a4-9608d907588b;WISSEL_GW;L;34065;602423;568358;20221206;C;20
