SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;RAILDEMPER_TYPE;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
d3d1eeb9-2b15-0619-a973-3ba31265f834;950187;1046257;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
d3d1eeb9-2b15-0619-a973-3ba31265f834;1046257;1068273;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
d3d1eeb9-2b15-0619-a973-3ba31265f834;1097295;1222387;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
cdd2f3c9-e333-0b37-4de8-002ed6eddb42;796810;894908;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
cdd2f3c9-e333-0b37-4de8-002ed6eddb42;894908;1072085;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;52640;84662;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;106676;195735;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;493934;512946;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;515948;1393532;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;1393532;11673364;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;11673364;11962556;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
f49e7d25-ef28-151b-3a04-3a2fbb9abd74;11962556;12002583;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
d87211fc-4b82-af2c-1b35-c0c7267ba0c2;436742;456756;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
d87211fc-4b82-af2c-1b35-c0c7267ba0c2;459758;1337370;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
29109bf2-51b0-b960-c6cb-a1c188b88cb8;61573;320833;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
29109bf2-51b0-b960-c6cb-a1c188b88cb8;320833;595050;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
3326a26b-b6ff-f0de-a804-41f3541bcef8;4750;23692;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
3326a26b-b6ff-f0de-a804-41f3541bcef8;30670;263953;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
3326a26b-b6ff-f0de-a804-41f3541bcef8;263953;463339;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
3326a26b-b6ff-f0de-a804-41f3541bcef8;546085;553129;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;12070308;12020149;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11936886;11886727;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11374105;11322943;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11319934;11314918;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11314918;11297864;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11297864;11120302;S&V,VICONAMSA 5RQ/54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11120302;11043057;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;11008950;10816340;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;10785242;10668873;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;10668873;10323781;S&V,VICONAMSA 5RQ/54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;10316759;10303718;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;10275629;10157254;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;10033864;9980696;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;9954613;9903451;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;7891083;7722550;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
4777348b-732a-1a08-be79-3dad279b4d67;7638283;7581102;Clipped Tuned, Corus 54E1/54E5;20221206;C;20
