OLD_SEGMENT;OLD_FROM;OLD_TO;NEW_SEGMENT;NEW_FROM;NEW_TO;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
;;;64207a7e-8010-4488-8fc2-d7792f59545ddf7a3abc-6409-48b4-837e-778464cfb98f;-4751;28795;20230424;C;21
;;;64207a7e-8010-4488-8fc2-d7792f59545dc016588f-eb9b-44c9-a5c7-25b060c46101;-4751;36470;20230424;C;21
a5608357-eaee-4092-8d4c-ef99ec230d2bbbd6a057-7662-4097-8974-c77692cd8543;-3900;49821;a5608357-eaee-4092-8d4c-ef99ec230d2bbbd6a057-7662-4097-8974-c77692cd8543;-3900;49821;20230424;C;21
a5608357-eaee-4092-8d4c-ef99ec230d2bda50ec85-4cbb-4be6-b475-64c75963f36b;-3900;49805;a5608357-eaee-4092-8d4c-ef99ec230d2bda50ec85-4cbb-4be6-b475-64c75963f36b;-3900;49805;20230424;C;21
4bb498ee-6ead-45e5-b7dd-0056abb7d3dc15fe9a11-5345-4161-9d66-36a57b81bd6d;-4500;34065;4bb498ee-6ead-45e5-b7dd-0056abb7d3dc15fe9a11-5345-4161-9d66-36a57b81bd6d;-4500;34065;20230424;C;21
4bb498ee-6ead-45e5-b7dd-0056abb7d3dcc6bab923-ac18-428d-a58e-002362464dca;-4500;34088;4bb498ee-6ead-45e5-b7dd-0056abb7d3dcc6bab923-ac18-428d-a58e-002362464dca;-4500;34088;20230424;C;21
b5247096-4edc-4ca5-8d22-baa089aca94f20451cc6-91a4-437e-9eba-3cc117a27394;-4500;34089;b5247096-4edc-4ca5-8d22-baa089aca94f20451cc6-91a4-437e-9eba-3cc117a27394;-4500;34089;20230424;C;21
b5247096-4edc-4ca5-8d22-baa089aca94fb2655c91-1cd7-46aa-af6e-08fdf2c791aa;-4500;34065;b5247096-4edc-4ca5-8d22-baa089aca94fb2655c91-1cd7-46aa-af6e-08fdf2c791aa;-4500;34065;20230424;C;21
987e07ee-ff60-4dc3-a79e-668c62f676ad54f42485-aecc-422e-8260-e224cda4858c;-4500;30840;987e07ee-ff60-4dc3-a79e-668c62f676ad54f42485-aecc-422e-8260-e224cda4858c;-4500;30840;20230424;C;21
987e07ee-ff60-4dc3-a79e-668c62f676ad9edb44f8-a4d1-4b69-9de9-2ac636f7b6bb;-4500;27454;987e07ee-ff60-4dc3-a79e-668c62f676ad9edb44f8-a4d1-4b69-9de9-2ac636f7b6bb;-4500;27454;20230424;C;21
f9c00674-8fdd-41c0-8f96-e48eebdf8a61e383692c-d8be-48af-9121-2daa984a72d7;-4500;47020;f9c00674-8fdd-41c0-8f96-e48eebdf8a61e383692c-d8be-48af-9121-2daa984a72d7;-4500;47020;20230424;C;21
f9c00674-8fdd-41c0-8f96-e48eebdf8a61c1ec4572-a7d4-444d-bdd7-2e9db8e81809;-4500;47005;f9c00674-8fdd-41c0-8f96-e48eebdf8a61c1ec4572-a7d4-444d-bdd7-2e9db8e81809;-4500;47005;20230424;C;21
36649215-04b4-47aa-b266-1fd077eb220551e05964-5f43-4831-a480-bfe7795e3f9f;-3900;61156;36649215-04b4-47aa-b266-1fd077eb220551e05964-5f43-4831-a480-bfe7795e3f9f;-3900;61156;20230424;C;21
36649215-04b4-47aa-b266-1fd077eb22058dcdbb36-805e-42e4-a8d9-2a40d6c8a422;-3900;61145;36649215-04b4-47aa-b266-1fd077eb22058dcdbb36-805e-42e4-a8d9-2a40d6c8a422;-3900;61145;20230424;C;21
52963313-d604-4386-be51-a6ca8ac36a02289f3f5f-0c1c-46e6-a4d4-d1caa781e9d0;-4500;28606;52963313-d604-4386-be51-a6ca8ac36a02289f3f5f-0c1c-46e6-a4d4-d1caa781e9d0;-4500;28606;20230424;C;21
52963313-d604-4386-be51-a6ca8ac36a02e4065134-5427-4d14-8969-e0ba1716ab66;-4500;27278;52963313-d604-4386-be51-a6ca8ac36a02e4065134-5427-4d14-8969-e0ba1716ab66;-4500;27278;20230424;C;21
66e2f1e6-98e5-4c43-8666-cc70f5bcc93d9a2cdd9e-4941-4722-8023-cb6a33f30355;-4500;34088;66e2f1e6-98e5-4c43-8666-cc70f5bcc93d9a2cdd9e-4941-4722-8023-cb6a33f30355;-4500;34088;20230424;C;21
66e2f1e6-98e5-4c43-8666-cc70f5bcc93df35b2be7-acc6-46ed-939f-07b8da3fdba2;-4500;34065;66e2f1e6-98e5-4c43-8666-cc70f5bcc93df35b2be7-acc6-46ed-939f-07b8da3fdba2;-4500;34065;20230424;C;21
312486c6-8b07-43ea-b539-f4e6c0d8de7994636f08-a798-459e-93c2-e6501f0a96ec;-3901;36493;312486c6-8b07-43ea-b539-f4e6c0d8de7994636f08-a798-459e-93c2-e6501f0a96ec;-3901;36493;20230424;C;21
312486c6-8b07-43ea-b539-f4e6c0d8de79ca49e532-59f0-47a8-8b7e-4d9e1e9b73e1;-3901;36470;312486c6-8b07-43ea-b539-f4e6c0d8de79ca49e532-59f0-47a8-8b7e-4d9e1e9b73e1;-3901;36470;20230424;C;21
47011faf-1958-42f7-9377-c4fde7b8decec561cda9-5681-460f-abd6-5ccdabca6d98;-4500;34065;47011faf-1958-42f7-9377-c4fde7b8decec561cda9-5681-460f-abd6-5ccdabca6d98;-4500;34065;20230424;C;21
47011faf-1958-42f7-9377-c4fde7b8dece415b389e-0f99-46d0-a50a-105309c71515;-4500;34088;47011faf-1958-42f7-9377-c4fde7b8dece415b389e-0f99-46d0-a50a-105309c71515;-4500;34088;20230424;C;21
dc342a73-3a60-4161-bb67-fe81dcac1a80c8fa8ddf-9ce9-4a27-97b8-1cfbb66827df;-3901;61145;dc342a73-3a60-4161-bb67-fe81dcac1a80c8fa8ddf-9ce9-4a27-97b8-1cfbb66827df;-3901;61145;20230424;C;21
dc342a73-3a60-4161-bb67-fe81dcac1a804f6e14f2-e04d-442b-a7a4-240d4249871a;-3901;61156;dc342a73-3a60-4161-bb67-fe81dcac1a804f6e14f2-e04d-442b-a7a4-240d4249871a;-3901;61156;20230424;C;21
e86b823f-8414-45e8-91ff-28c87e17ff6628ab06d7-b677-43a6-9b72-58c8e36a4c14;-5700;121479;e86b823f-8414-45e8-91ff-28c87e17ff6628ab06d7-b677-43a6-9b72-58c8e36a4c14;-5700;121479;20230424;C;21
e86b823f-8414-45e8-91ff-28c87e17ff6684862a01-9590-4d70-9b4e-302c9bab6f4c;-5700;121484;e86b823f-8414-45e8-91ff-28c87e17ff6684862a01-9590-4d70-9b4e-302c9bab6f4c;-5700;121484;20230424;C;21
acaeb679-ee58-4ecf-8c7c-64610acbc1734b39c874-e5e1-497f-8a19-1ded3f817278;-4501;27367;acaeb679-ee58-4ecf-8c7c-64610acbc1734b39c874-e5e1-497f-8a19-1ded3f817278;-4501;27367;20230424;C;21
acaeb679-ee58-4ecf-8c7c-64610acbc17300416f38-a9db-4c27-9c1a-51fe96d99ef6;-4501;34065;acaeb679-ee58-4ecf-8c7c-64610acbc17300416f38-a9db-4c27-9c1a-51fe96d99ef6;-4501;34065;20230424;C;21
98c5ef7c-e05a-45c3-8d33-7265830a28c4f00502dd-876e-4cb4-8e44-b772a5722306;-3901;36531;98c5ef7c-e05a-45c3-8d33-7265830a28c4f00502dd-876e-4cb4-8e44-b772a5722306;-3901;36531;20230424;C;21
98c5ef7c-e05a-45c3-8d33-7265830a28c4a5e75fb6-c825-4cf9-af63-9433ed37e50d;-3901;36470;98c5ef7c-e05a-45c3-8d33-7265830a28c4a5e75fb6-c825-4cf9-af63-9433ed37e50d;-3901;36470;20230424;C;21
464f5468-8b44-43ab-92e7-5c67ce768dbd9d7ed384-6a3c-45dc-9dc9-6eadce405010;-4500;58138;464f5468-8b44-43ab-92e7-5c67ce768dbd9d7ed384-6a3c-45dc-9dc9-6eadce405010;-4500;58138;20230424;C;21
464f5468-8b44-43ab-92e7-5c67ce768dbd75157774-826f-4e5c-90e4-59c1144f5ebe;-4500;58132;464f5468-8b44-43ab-92e7-5c67ce768dbd75157774-826f-4e5c-90e4-59c1144f5ebe;-4500;58132;20230424;C;21
449e6165-5e72-4604-bd61-975119013d828231c623-81bf-475e-bb06-2f9681622051;-5700;121485;449e6165-5e72-4604-bd61-975119013d828231c623-81bf-475e-bb06-2f9681622051;-5700;121485;20230424;C;21
449e6165-5e72-4604-bd61-975119013d8275191c74-ab23-4351-b3f5-a3e87cbc4cc0;-5700;121480;449e6165-5e72-4604-bd61-975119013d8275191c74-ab23-4351-b3f5-a3e87cbc4cc0;-5700;121480;20230424;C;21
f89fb853-2b08-4bea-b91c-76e2cad5998b9914bd7a-7af6-4320-9e50-9780a8e8d701;-4500;54458;f89fb853-2b08-4bea-b91c-76e2cad5998b9914bd7a-7af6-4320-9e50-9780a8e8d701;-4500;54458;20230424;C;21
f89fb853-2b08-4bea-b91c-76e2cad5998bce9e003f-0f77-4467-83e7-4471d90478a6;-4500;52491;f89fb853-2b08-4bea-b91c-76e2cad5998bce9e003f-0f77-4467-83e7-4471d90478a6;-4500;52491;20230424;C;21
89a3257d-795d-4f5f-a7a9-6aa9cc85514bdb0783fa-fb54-47f6-9e59-8afae9b05c1e;-3899;61145;89a3257d-795d-4f5f-a7a9-6aa9cc85514bdb0783fa-fb54-47f6-9e59-8afae9b05c1e;-3899;61145;20230424;C;21
89a3257d-795d-4f5f-a7a9-6aa9cc85514bf6298bce-3390-4dbb-a972-4a4172766cb2;-3899;50005;89a3257d-795d-4f5f-a7a9-6aa9cc85514bf6298bce-3390-4dbb-a972-4a4172766cb2;-3899;50005;20230424;C;21
4b00a0ee-45e3-458f-9286-b6a72aa63a7724f2770e-2315-4331-8d78-bbc88482efe9;-3899;27283;4b00a0ee-45e3-458f-9286-b6a72aa63a7724f2770e-2315-4331-8d78-bbc88482efe9;-3899;27283;20230424;C;21
4b00a0ee-45e3-458f-9286-b6a72aa63a7774321dd8-8cbf-4595-817e-8a7eba69b2dd;-3899;36470;4b00a0ee-45e3-458f-9286-b6a72aa63a7774321dd8-8cbf-4595-817e-8a7eba69b2dd;-3899;36470;20230424;C;21
d1c9cc8d-5174-4433-9cc4-f7e7fd0cbeb4e9a86a80-9119-4c63-acba-93ede771c0be;-3899;36471;d1c9cc8d-5174-4433-9cc4-f7e7fd0cbeb4e9a86a80-9119-4c63-acba-93ede771c0be;-3899;36471;20230424;C;21
