GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
469;469_e;469;Pernis;Ps;20230424;C;21
469;469_a;469;Pernis;Ps;20230424;C;21
469;469_f;469;Pernis;Ps;20230424;C;21
469;469_b;469;Pernis;Ps;20230424;C;21
469;469_d;469;Pernis;Ps;20230424;C;21
952;952__;952;Botlektunnel;Bott;20230424;C;21
469;469_g;469;Pernis;Ps;20230424;C;21
053;053__;53;Vught Aansl. - Boxtel;Vga-Btl;20230424;C;21
621;621__;621;Nieuwersluis=Loenen;Nws;20230424;C;21
855;855__;855;Venlo Tradeport;Vltp;20230424;C;21
516;516_b;516;Blerick;Br;20230424;C;21
052;052__;52;Beugen - Blerick;Bug-Br;20230424;C;21
516;516_a;516;Blerick;Br;20230424;C;21
602;602_b;602;Herfte Aansl.;Hea;20230424;C;21
204;204__;204;Herfte Aansl. - Mariënberg;Hea-Mrb;20230424;C;21
602;602_a;602;Herfte Aansl.;Hea;20230424;C;21
013;013__;13;Herfte Aansl. - Meppel;Hea-Mp;20230424;C;21
014;014__;14;Zwolle - Herfte Aansl.;Zl-Hea;20230424;C;21
490;490_c;490;Amsterdam Houtrakpolder (gebied);Hrp;20230424;C;21
784;784__;784;Visé (B) - Eijsden Grens;Fvs-Edng;20230424;C;21
071;071__;71;Eijsden - Maastricht;Edn-Mt;20230424;C;21
528;528_a;528;Hilversum;Hvs;20230424;C;21
557;557_c;557;Terneuzen Aansl.;Tnza;20230424;C;21
823;823_a;823;Oosterhout Weststad;Otw;20230424;C;21
524;524_a;524;Zaandam;Zd;20230424;C;21
010;010__;10;Haren - Groningen Losplaats;Hrn-Gnl;20230424;C;21
079;079__;79;Zaandam - Hoorn;Zd-Hn;20230424;C;21
851;851_c;851;Born Franciscushaven;Bonfh;20230424;C;21
468;468_a;468;Rotterdam Eemhaven;Reh;20230424;C;21
562;562_a;562;De Haar Aansl.;Har;20230424;C;21
124;124_b;124;Tilburg - Vught Aansl.;Tb-Vga;20230424;C;21
606;606_a;606;Almelo;Aml;20230424;C;21
463;463__;463;Stadskanaal Hoofdstation - Musselkanaal=Valthermond;Skn-Mkv;20230424;C;21
503;503_b;503;Deventer;Dv;20230424;C;21
527;527_c;527;Haarlem;Hlm;20230424;C;21
587;587_d;587;Diemen;Dmn;20230424;C;21
859;859__;859;Sas van Gent Cerestar;Svgca;20230424;C;21
612;612_a;612;Barneveld Noord;Bnn;20230424;C;21
553;553_c;553;Sittard;Std;20230424;C;21
080;080__;80;Amsterdam Bijlmer - Nieuwersluis=Loenen;Asb-Nws;20230424;C;21
095;095__;95;Hilversum - Blauwkapel;Hvs-Bkp;20230424;C;21
133;133_a;133;Amsterdam Riekerpolder - Warmond;Asra-Wmd;20230424;C;21
603;603_e;603;Zwolle;Zl;20230424;C;21
603;603_d;603;Zwolle;Zl;20230424;C;21
603;603_b;603;Zwolle;Zl;20230424;C;21
603;603_a;603;Zwolle;Zl;20230424;C;21
018;018__;18;Deventer - Zwolle;Dv-Zl;20230424;C;21
206;206__;206;Zwolle - Wierden;Zl-Wdn;20230424;C;21
470;470_h;470;Botlek;Bot;20230424;C;21
470;470_g;470;Botlek;Bot;20230424;C;21
470;470_l;470;Botlek;Bot;20230424;C;21
470;470_k;470;Botlek;Bot;20230424;C;21
470;470_c;470;Botlek;Bot;20230424;C;21
470;470_a;470;Botlek;Bot;20230424;C;21
950;950_a;950;Barendrecht Vork - Rotterdam Maasvlakte;Brdv-Mvt;20230424;C;21
541;541_d;541;Weesp Aansl.;Wpa;20230424;C;21
617;617_b;617;Boxtel;Btl;20230424;C;21
021;021__;21;Barneveld Noord - Apeldoorn;Bnn-Apd;20230424;C;21
611;611_b;611;Zevenaar;Zv;20230424;C;21
611;611_c;611;Zevenaar;Zv;20230424;C;21
611;611_a;611;Zevenaar;Zv;20230424;C;21
039;039__;39;Zevenaar - Zevenaar Grens;Zv-Zvg;20230424;C;21
485;485_g;485;Amsterdam Hemhaven (gebied);Asdh;20230424;C;21
