TRAJECT;N_SP_NAAR;TRJ_NAAR;N_SP_VAN;TRJ_VAN;SEGMENT_IDENTIFICATIE;SPOORLIJNNAAM;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ;ABC;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
Esta-Nm;AC;Nm;92;Esta;f14bba86-10a2-4115-b896-e6687a3c798f30255cea-cc0b-4455-9939-0a8d6873b895;92-AC;0-100;0;40370;-3901;36469;BEGIN;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;3c92c30a-79b4-d8e8-5e81-6e59948a7371;92-AC;0-100;40370;613838;36469;609937;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;2270cc38-47b0-4d4d-b114-ed4b66799e0d3955d3fe-982a-49f0-9e72-6c4195e6ee70;92-AC;0-100;613838;678883;-3900;61145;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;f92c9dbc-f5e0-df65-df50-37316cda4aac;92-AC;0-100;678883;852363;61145;234625;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;3cc34370-b313-461f-9935-a972721fb417;92-AC;0-100;852363;1224412;234625;606674;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;73705493-d66f-4402-a1d7-606ab6d53b02;92-AC;0-100;1224412;1224420;606674;606682;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;5b43dc57-aa48-4f0a-ab07-86e100f69f0f;92-AC;0-100;1224420;1954859;606682;1337121;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;8649e070-218b-8afa-5eac-ece5f0b7f174;92-AC;0-100;1954859;2720614;1337121;2102876;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;6e970e64-aab6-41f3-86dc-fa1f236db0f774cf9614-9a37-4c68-9053-4dbe810c8f3b;92-AC;100-0;2720614;2785658;61144;-3900;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;054202e8-fe17-e0e5-9b79-06b86c7b9cb2;92-AC;0-100;2785658;6564162;3964922;186418;;;;B;20230424;C;21
Esta-Nm;AC;Nm;92;Esta;8a095413-81c5-3d6d-2edc-d83f73677383;92-AC;0-100;6564162;6746680;186418;3900;;EIND;;B;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;1540de45-ca92-48e1-8a52-57a7e0642a42f55a8c1e-89d2-4c6a-9cb1-21494c9cc62d;91-BC;0-100;0;40371;-3900;36471;BEGIN;;405;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;91b22d5f-4e8f-9c22-3bb2-f398948ad72a;91-BC;0-100;40371;481031;36471;477131;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;46312cc8-0ab5-45e1-b96e-8eaa93a01146ea2644a4-9b35-4c8e-9080-23e88f895ae0;91-BC;0-100;481031;538769;-3900;53838;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;42757a87-99ac-45b6-a48f-1860de3555210fa29163-b90a-4af7-83b7-2558f8254014;91-BC;100-0;538769;596508;53839;-3900;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;f0321d2d-5353-483c-1936-cc9db1397da3;91-BC;0-100;596508;616466;3900;23858;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;3ffca529-6cdc-4260-933c-a86aa47f895acc3185be-1a1a-4d23-bcd1-fbe16a76e328;91-BC;0-100;616466;681511;-3900;61145;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;16187d39-7dc3-8d64-83cf-a08ff6e20342;91-BC;0-100;681511;719607;61145;99241;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;85a59f42-f441-4c5a-aabd-5556e7abce9a;91-BC;0-100;719607;1092696;99241;472330;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;7a7ec907-41fe-4a80-81c3-787cc9229c77;91-BC;0-100;1092696;1092699;472330;472333;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;b4d85947-42d5-4f79-8ca3-8f2dbd7fd9dc;91-BC;0-100;1092699;1579152;472333;958786;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;a8fa13e7-de47-4b70-a252-05df8199efe844bb1c0a-2d01-4a40-9139-d7bde202f883;91-BC;100-0;1579152;1644196;61145;-3899;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;8645ce32-f992-8287-3723-b198f3e8316c;91-BC;0-100;1644196;1662820;3899;22523;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;653e8b05-81f6-420a-8ca1-869dd14efaf54743bc93-534f-4b3f-9224-544fb64ba5f7;91-BC;0-100;1662820;1727866;-3901;61145;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;49b68ecc-dfe3-aaa6-0a08-377bd5b32fdd;91-BC;0-100;1727866;1821995;4934939;4840810;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;8422d5ab-6617-bba1-56b4-efd68f3fe09e;91-BC;0-100;1821995;6429796;4840810;233009;;;;A;20230424;C;21
Esta-Nm;BC;Nm;91;Esta;e8d24efa-e2df-a669-1c0e-7c694a3ab302;91-BC;0-100;6429796;6636815;233009;25990;;EIND;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;e86118b6-3359-7976-b55c-d7767a550be0;CE-RT;0-100;0;1933243;2206431;273188;BEGIN;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;8d7c393e-6623-bbea-a075-7861ab6d356f;CE-RT;0-100;1933243;2148299;273188;58132;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;263821d7-d967-4faa-87e7-d01fd914d9a7eaafbe97-7b4d-429a-b50c-7f7f0c1fc705;CE-RT;100-0;2148299;2210931;58132;-4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;3df205a0-1012-ccf7-ecd9-c8270d3cc7f4;CE-RT;0-100;2210931;2248931;4500;42500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;3e8f5d93-f899-4a62-84c7-3f9aae0389c97160b268-140a-4c48-8b90-51673f2cd2c7;CE-RT;0-100;2248931;2311558;-4500;58127;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;c2c6d366-38a9-941c-eac4-ee30dbba01ec;CE-RT;0-100;2311558;2737086;58127;483655;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;c31a9fb8-2db8-e3d4-80c4-e1844ffeabe4;CE-RT;0-100;2737086;3211526;483655;958095;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;e3d5e7bc-7ac2-4bd3-b1c2-edbcaa0f981c8d1f270f-a3ac-4a01-9f95-913524895672;CE-RT;100-0;3211526;3265231;49805;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;f763e152-e2fb-d8f2-c883-bc5559681853;CE-RT;0-100;3265231;3283957;3900;22626;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;613c5db0-4bf0-4ccb-9102-1a3b395d7af9f1d7fb92-ac09-45f2-8262-1ab2ca76ca69;CE-RT;0-100;3283957;3349003;-3901;61145;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;ad9bf0d6-618e-0436-8fe0-bb1caf962b85;CE-RT;0-100;3349003;4138304;61145;850446;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;022651bf-d37d-64dd-3d2d-d75ac9a6e329;CE-RT;0-100;4138304;4147550;850446;859692;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;4c183998-be6e-4966-91e9-46a98c1b12a9e7cc3e28-c999-4883-95ba-4c551f74ab07;CE-RT;100-0;4147550;4212595;61145;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;65db2ac7-0b28-b629-ddcb-531196d69c5a;CE-RT;0-100;4212595;5955214;3900;1746519;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;a24b2e31-6634-438a-9968-64a8fa3e080454cfc653-c5e6-46a4-9cc5-242cbe260ca7;CE-RT;0-100;5955214;6020258;-3900;61144;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;e20a2e16-81bb-cb3f-1bfb-f935f7be5a92;CE-RT;0-100;6020258;7137962;4800299;3682595;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;2d718c19-580f-efd8-3f27-2a160ba79a16;CE-RT;0-100;7137962;10134975;3682595;685582;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;0734f6e0-3bf1-06c6-3182-78da01d3153b;CE-RT;0-100;10134975;10786492;685582;34065;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;17f75087-3d9d-4026-af01-0eadc955f66f98d3dee1-4fcd-4b86-99d5-e407549eaf32;CE-RT;100-0;10786492;10825057;34065;-4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;1d48c2fc-3c7b-88bb-0af7-209a72b970c6;CE-RT;0-100;10825057;10889693;4500;69136;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;2d9efc8e-a411-469c-b2d8-aed0335f67bb795163d3-7902-42ee-b8dd-29f802e49b82;CE-RT;100-0;10889693;10952320;58127;-4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;9e91e6c4-97a8-5ad5-f1f1-70fe1623fbd7;CE-RT;0-100;10952320;10968627;20807;4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;583a957f-dd40-4848-9d88-56792579780ddf402d1e-0070-46ca-b6f2-4a7edd58c965;CE-RT;0-100;10968627;11031258;-4500;58131;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;6db6ea12-6ca7-7f4c-4042-fbe62bbffc06;CE-RT;0-100;11031258;13438599;58131;2465472;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;0ab4fa5c-d052-44af-a1ee-eab82aaf1bbf381fd0af-fc0a-4e8f-9f84-3acd5e819fd2;CE-RT;100-0;13438599;13503645;61146;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;13f9b481-d4f0-d029-647f-122379ac0b32;CE-RT;0-100;13503645;13518623;3900;18878;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;9d450efa-f139-4acb-9e7b-a016b3376517887240a8-2f79-4077-8bee-6519389bd743;CE-RT;0-100;13518623;13583680;-3901;61156;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;a4de9156-9d3d-5073-f20b-86ba7c910c4e;CE-RT;0-100;13583680;13590358;61156;67834;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;dc7f2f3b-1bce-4991-a6b2-c83ffae680afa0be3836-13be-4b02-be96-80b8672f7e2c;CE-RT;100-0;13590358;13655413;61155;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;53e62999-9d6d-9ec5-d74c-e0dc7d7cf106;CE-RT;0-100;13655413;14419147;3900;767634;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;43d371e8-19ab-4af2-8c7c-55c9f910fe28b35fe464-646a-415d-9f67-cd296573ddf5;CE-RT;0-100;14419147;14459517;-3900;36470;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;eaa154fa-dfb2-81ef-6678-93472ef8aa3d;CE-RT;0-100;14459517;14498193;36470;75146;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;bfa7beb7-a35d-4efb-858c-24f9f41e722bfde8da26-b435-405f-97e6-5610e535423a;CE-RT;0-100;14498193;14563238;-3900;61145;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;929828ab-d3d2-2ee7-87cf-cf44ddffa31d;CE-RT;0-100;14563238;14621284;61145;119191;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;d891df60-7b59-42c3-8a47-b8c3de867a03b7256581-9c22-4040-a4a6-81140cf50fff;CE-RT;100-0;14621284;14686340;61156;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;9a74303a-02a1-8327-7d26-1b6366e37831;CE-RT;0-100;14686340;14837168;3900;154728;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;f8fb9c80-f23b-4e44-82cb-48f651029dfd0cc052df-1af2-49f6-814d-25de27833b49;CE-RT;100-0;14837168;14902213;61145;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;59ce4d75-e5aa-acc8-2db2-f10c296d6379;CE-RT;0-100;14902213;15631053;3900;732740;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;f916edec-53d1-439d-9152-8cd28a7f13ed7d0549ba-96ee-4ce0-807c-73bd45099b37;CE-RT;100-0;15631053;15671423;36470;-3900;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;5b1bd2f1-6a5c-6623-122d-d73b5a335b65;CE-RT;0-100;15671423;15881255;3900;213732;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;adeee216-e6ce-4456-8a41-42c1e767e511a8813e3d-ebe7-4f0a-9195-0d92e419d9ea;CE-RT;0-100;15881255;15946300;-3900;61145;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;440ff822-52bf-4140-9a6c-d0a3754649bb;CE-RT;0-100;15946300;16000110;4090120;4036310;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;d762188a-ed87-4202-b421-b79d25a1c8c0;CE-RT;0-100;16000110;19114747;4036310;921673;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;eb92cbbd-fcb2-449a-91a7-fbdeb9d97365;CE-RT;0-100;19114747;20031920;921673;4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;40448572-5d18-406b-a837-0a221ee18e8eaf06a310-a9d3-4f07-90ad-9695aaf1b761;CE-RT;0-100;20031920;20070485;-4500;34065;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;51163c8e-d993-2f70-d899-f3d1c5640cd7;CE-RT;0-100;20070485;20072408;34065;35988;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;8bf5f43a-4bd2-4495-8d71-1a01f3ead08e6e298471-7314-458b-b7e9-9c1b554836b2;CE-RT;100-0;20072408;20135035;58127;-4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;8e9e83fe-2d9e-7941-a7b5-ab55e475eb2d;CE-RT;0-100;20135035;20152822;4500;22287;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;0a075279-bd45-4880-8676-d30f1385b8db90a74bcc-1e13-4df8-89f1-81e2e23cad9d;CE-RT;0-100;20152822;20191386;-4500;34064;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;7ba925eb-6195-2c57-aa8a-b2aaff0ab7ee;CE-RT;0-100;20191386;20318707;34064;161385;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;84bcc85c-a5a1-41fc-9267-8602f02504cea55ba73c-d6ee-4e8a-96bf-2def0dd2e744;CE-RT;100-0;20318707;20381339;58132;-4500;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;8bcd1b4b-3c38-08ec-a66e-657e2e3db386;CE-RT;0-100;20381339;20430450;53612;4501;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;42696766-8f28-47c7-b747-935dcfb437b6053e7d3f-7a8d-49f5-a0a0-c2d5a3d2b166;CE-RT;0-100;20430450;20493083;-4501;58132;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;be8f27ab-adda-94df-748e-c0ad4a42237f;CE-RT;0-100;20493083;21294166;58132;859215;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;797dd17f-66d2-463f-a788-009a2f60a4fb3f097568-c133-4294-8530-70925bbfab75;CE-RT;100-0;21294166;21332730;34065;-4499;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;1fd8681e-eaea-7f68-c826-a1be0554d73a;CE-RT;0-100;21332730;21702787;4499;374556;;;;A;20230424;C;21
Brd-Mvt;RT;Mvt;CE;Brd;9f79b039-6469-425b-89a2-1723b763f71f95b56454-c625-452d-8b5b-d26530405002;CE-RT;0-100;21702787;21741352;-4500;34065;;;;A;20230424;C;21
